,2017,2016,2015,2014,2013
负债占资产比率(%),0.725433175007,0.708665441646,0.72345703861,0.671458567942,0.488431773356
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.0,0.0,0.0,0.0,0.0
速动比率(%),0.0,0.0,0.0,0.0,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,0.0,0.0,0.0,0.0,0.0
固定资产周转率,1.17104995661,1.68472765858,2.86057092641,1.45705841057,1.18621257406
总资产周转率,0.0,0.0,0.0,0.0,0.0
ROA=资产收益率,0.0121485252993,0.0196255825913,0.0443046653949,0.0328666868547,0.0249599074726
净资产收益率,0.0429773411007,0.0691298243983,0.148410478786,0.0831975222114,0.0436057716432
ROA=税前纯益占实收资本比率,0.390425732305,0.906057360577,1.86586797624,0.913040198783,0.429952435782
毛利率,0.0,0.0,0.0,0.0,0.0
营业利润率,0.704844004713,0.736978764897,0.870404553368,0.843530675771,0.588814564394
净利率,-0.7048440047132629,-0.7369787648973404,-0.8704045533684137,-0.8435306757705733,-0.5888145643941172
营业费用率,-0.7048440047132629,-0.7369787648973404,-0.8704045533684137,-0.8435306757705733,-0.5888145643941172
经营安全边际率,0.0,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.305745904974,0.720632316033,1.41765413771,0.698408768606,0.338135467094
营收增长率,-0.323461915163,-0.425819922919,0.972489016118,0.501815899968,0.200973366161
毛利率,0.0,0.0,0.0,0.0,0.0
营业利润率,0.704844004713,0.736978764897,0.870404553368,0.843530675771,0.588814564394
净利增长率,-0.363588272052,-0.491672688799,1.02983439131,1.06547031167,0.632949263997
净资本增长率,0.0685649247859,-0.011875848362,0.365188376947,0.752173915692,0.325263955397
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
