,2017,2016,2015,2014,2013
负债占资产比率(%),0.111808778301,0.0963518818808,0.129479816937,0.139840168077,0.167475491059
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.61867069557,6.53727759546,5.21598029097,4.55010898931,3.60335244494
速动比率(%),4.44360522029,6.36127942896,5.00271295852,4.35766817761,3.3846945372
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,8.88999357383,10.6522713016,10.7803269209,11.4532846014,12.6354158026
存货周转天数,40.4949674047,33.7956093876,33.3941635204,31.432031293,28.4913457241
固定资产周转率,1.84429016579,2.25032187012,2.18490049386,2.00360928288,2.12257312263
总资产周转率,0.184238889479,0.253071706412,0.278971483691,0.292025360368,0.35964491933
ROA=资产收益率,0.0244170542137,0.0281711207012,0.040506983429,0.0518860946311,0.141025288788
净资产收益率,0.0272583684226,0.0317617657362,0.0468059068006,0.0612976154234,0.166713192454
ROA=税前纯益占实收资本比率,0.151123827782,0.175241905065,0.246000682533,0.330396003175,0.780481848564
毛利率,0.283534015785,0.248836860852,0.276881420609,0.28952515559,0.311539797731
营业利润率,0.150411099065,0.128146916461,0.170902272017,0.181344103101,0.439192774261
净利率,0.1331229167205042,0.12068994439110012,0.1059791485923286,0.10818105248886253,-0.12765297652996177
营业费用率,0.1331229167205042,0.12068994439110012,0.1059791485923286,0.10818105248886253,-0.12765297652996177
经营安全边际率,0.5304869634360977,0.5149836564491176,0.6172399420694583,0.6263500756318586,1.4097485376175964
EPS=基本每股收益,0.132376005215,0.150859599928,0.215153381356,0.268764534636,0.66925743274
营收增长率,-0.262970467859,-0.0853933916965,-0.0204275988408,-0.113719058747,-0.0526596440717
毛利率,0.283534015785,0.248836860852,0.276881420609,0.28952515559,0.311539797731
营业利润率,0.150411099065,0.128146916461,0.170902272017,0.181344103101,0.439192774261
净利增长率,-0.122521833033,-0.298827659702,-0.199472573094,-0.598413821814,1.58991770828
净资本增长率,0.0412209881275,-0.0159832753002,0.0332044908592,0.0174780785559,0.178759704468
现金流量比率,0.575856579397,0.749286841584,0.639843766596,0.363566013566,0.451100572238
现金再投资比率,0.0626652725064,0.0634465020959,0.0581777788917,0.0404868888674,0.0820397954368
