,2017,2016,2015,2014,2013
负债占资产比率(%),0.196430389803,0.141492639229,0.158810980021,0.254193213703,0.187615064312
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,4.29162652922
流动比率(%),3.53770689143,4.83889542388,4.48570798322,2.71181986402,3.74295989512
速动比率(%),3.25509742073,4.5426485061,4.11283563891,2.23058865527,3.12204100334
应收款项周转率,2.50641237991,3.41692038787,3.29292739821,1.94976166607,3.08670734068
应收款项周转天数,143.631591866,105.358029786,109.325216279,184.637951533,116.629132686
存货周转率,2.92636664993,5.36413955926,4.97476931016,2.26359430609,3.13939581394
存货周转天数,123.01944461,67.1123478468,72.3651646047,159.039099467,114.671746201
固定资产周转率,1.12433212846,1.74999368683,2.19890239519,1.20151503539,1.66449091603
总资产周转率,0.139768013416,0.261306289971,0.359604816915,0.195901329783,0.28147452936
ROA=资产收益率,0.0142317681736,0.0213017274971,0.014091773752,0.0,0.0106024079655
净资产收益率,0.0171488432441,0.0250404606149,0.0178142151401,0.0,0.0129384606956
ROA=税前纯益占实收资本比率,0.109863142556,0.130060656957,0.0884350860812,0.0,0.0700233276808
毛利率,0.326073914443,0.25737694158,0.177318590632,0.0867945595584,0.213023598082
营业利润率,0.13742096361,0.0995448290393,0.0445923842911,0.0,0.0511941249332
净利率,0.18865295083351527,0.15783211254052942,0.13272620634078494,0.08679455955839026,0.16182947314927426
营业费用率,0.18865295083351527,0.15783211254052942,0.13272620634078494,0.08679455955839026,0.16182947314927426
经营安全边际率,0.4214411442400283,0.38676669490384236,0.2514817207387821,0.0,0.24032137938709705
EPS=基本每股收益,0.0832959683287,0.108878869202,0.0749934537616,0.0,0.0568851538355
营收增长率,-0.387516671342,-0.236342825474,0.769810157634,-0.283983577877,0.408034801228
毛利率,0.326073914443,0.25737694158,0.177318590632,0.0867945595584,0.213023598082
营业利润率,0.13742096361,0.0995448290393,0.0445923842911,0.0,0.0511941249332
净利增长率,-0.234966629072,0.588631741734,0.0,0.0,0.0
净资本增长率,0.0867395757035,0.216026506531,-0.0979877651003,0.0280004638452,0.0295931246578
现金流量比率,0.0,0.772835607011,0.933454994092,0.0,0.0
现金再投资比率,0.0,0.106539571471,0.140266351569,0.0,0.0
