,2017,2016,2015,2014,2013
负债占资产比率(%),0.494112644253,0.393602337584,0.622219368896,0.666718901378,0.678808400166
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.53962937878,2.42764288537,1.8347579773,1.4184147444,1.31462401217
速动比率(%),1.72730970373,1.89843588837,0.733426820327,0.553236707532,0.566203673003
应收款项周转率,0.0,0.0,3.49749420382,6.14578221228,5.06554728054
应收款项周转天数,0.0,0.0,102.930835341,58.576758428,71.0683328104
存货周转率,14.580055239,5.58992364198,2.07025887789,2.94211943374,3.32975190412
存货周转天数,24.6912644773,64.4015952734,173.891296323,122.360770223,108.116163115
固定资产周转率,93.5253837185,143.608025922,0.940540079116,1.05289231366,0.770778489706
总资产周转率,0.535010266513,0.908997137703,0.35106081138,0.444869609842,0.361429525838
ROA=资产收益率,0.187270537703,0.350113282099,0.0165388897607,0.0032610410608,0.0237549807744
净资产收益率,0.344792373552,0.669774444184,0.046501401161,0.00996465637274,0.0854223682846
ROA=税前纯益占实收资本比率,3.95511816358,4.29089493866,0.0331997975853,0.0,0.0504836983553
毛利率,0.553466411727,0.61957881883,0.177215247914,0.146215310282,0.19750835309
营业利润率,0.413898732536,0.446980183414,0.0,0.0,0.0143359722717
净利率,0.13956767919070195,0.1725986354165171,0.1772152479139387,0.1462153102822974,0.1831723808180039
营业费用率,0.13956767919070195,0.1725986354165171,0.1772152479139387,0.1462153102822974,0.1831723808180039
经营安全边际率,0.7478299021701963,0.7214258619390208,0.0,0.0,0.0725841314935647
EPS=基本每股收益,3.34439574324,3.65499244179,0.0397977283216,0.00776863291286,0.0553158200212
营收增长率,0.006861902243,2.55889068763,-0.202899263292,0.25922336266,0.285287296915
毛利率,0.553466411727,0.61957881883,0.177215247914,0.146215310282,0.19750835309
营业利润率,0.413898732536,0.446980183414,0.0,0.0,0.0143359722717
净利增长率,-0.0849787526229,28.0962298989,4.12287409742,-0.859558569142,-0.973674485321
净资本增长率,0.698070072947,0.732543718832,0.0120695327912,0.00811087841588,0.0385496621064
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
