,2017,2016,2015,2014,2013
负债占资产比率(%),0.59547847841,0.581808839804,0.555324729258,0.550447324989,0.575700376512
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.28604285057,1.36919805939,1.26121455858,1.46367896426,1.48544279409
速动比率(%),0.736259880063,1.02316913275,0.814431892658,0.850161646076,0.929459768854
应收款项周转率,4.14612487381,6.54737949812,6.06638408962,5.64020189535,6.28356097283
应收款项周转天数,86.82806499,54.983829806,59.3434234762,63.8275023979,57.292354058
存货周转率,8.90000212293,12.1939841094,6.99065343101,6.79760328933,12.2900719103
存货周转天数,40.4494285538,29.5227545623,51.4973319094,52.9598425617,29.2919360136
固定资产周转率,61.9613009088,82.2104385954,56.4421499852,38.7478530998,41.2491630453
总资产周转率,0.798402242842,1.2177418977,1.1725432837,1.21200316805,1.36260166849
ROA=资产收益率,0.00533076220069,0.0169676444798,0.0184856521092,0.0172437396118,0.0166135740306
净资产收益率,0.0129636174195,0.0394364522904,0.0413499224696,0.0394007863403,0.0336912913683
ROA=税前纯益占实收资本比率,0.0942207489753,0.268601653901,0.273106275614,0.222393984631,0.206453284219
毛利率,0.0635950821641,0.0638612295417,0.0763474021619,0.0707780134916,0.0505094875923
营业利润率,0.00715692139073,0.0145842723658,0.0172788027368,0.0156819980764,0.00847208574676
净利率,0.05643816077338938,0.04927695717595616,0.05906859942515097,0.055096015415163666,0.04203740184558227
营业费用率,0.05643816077338938,0.04927695717595616,0.05906859942515097,0.055096015415163666,0.04203740184558227
经营安全边际率,0.11253891255706626,0.22837443736099727,0.22631814898078115,0.22156595392815137,0.16773256175433374
EPS=基本每股收益,0.0649365426217,0.191195703272,0.197943911372,0.170350934701,0.146477747703
营收增长率,-0.270232059107,0.168179919364,0.0486231369255,0.14233950291,0.342548610839
毛利率,0.0635950821641,0.0638612295417,0.0763474021619,0.0707780134916,0.0505094875923
营业利润率,0.00715692139073,0.0145842723658,0.0172788027368,0.0156819980764,0.00847208574676
净利增长率,-0.650307728054,0.0324526698197,0.161977254301,0.332995679491,2.35897645301
净资本增长率,0.0439221844719,0.195728389975,0.0503436375012,0.121562515848,0.533872678191
现金流量比率,0.0,0.0841231349922,0.180500761973,0.0,0.0480272006754
现金再投资比率,0.0,0.0593334371911,0.178807594491,0.0,0.0201124355609
