,2017,2016,2015,2014,2013
负债占资产比率(%),0.69976058638,0.71288671712,0.729198036512,0.726196784485,0.748261716958
长期资金占不动产及设备比率(%),0.942963625928,0.785533944272,0.910756891396,1.11411455294,1.04857921694
流动比率(%),0.782980301761,0.694546574802,0.768332640651,0.902306725177,0.866857279051
速动比率(%),0.303252654,0.271296215542,0.250913424313,0.237676533534,0.231855666944
应收款项周转率,83.2038941157,111.870616681,88.6752675577,77.696940886,55.5468290372
应收款项周转天数,4.3267205679,3.21800317797,4.05975656928,4.63338705353,6.48101802101
存货周转率,6.58763627481,9.01716881017,7.44757305736,6.95330575209,4.4855974282
存货周转天数,54.6478258638,39.9238394643,48.3378944023,51.7739349937,80.2568678447
固定资产周转率,6.37321349987,8.02007492948,7.40435412107,7.81704733254,6.51911987472
总资产周转率,1.84555774786,2.55389392548,2.3518380134,2.42532674971,1.71697938533
ROA=资产收益率,0.0137392518358,0.0075251430774,0.00266734458894,0.00502155161686,0.0
净资产收益率,0.0467162694746,0.0269803858935,0.00979376723716,0.0191368499108,0.0
ROA=税前纯益占实收资本比率,0.286737926367,0.153939344089,0.125061118768,0.150375496266,0.0
毛利率,0.0323710865001,0.0339964055555,0.0290596936931,0.0364529682127,0.010781143739
营业利润率,0.00754103625041,0.00240184405264,0.0,0.00199661163816,0.0
净利率,0.024830050249682392,0.031594561502891465,0.02905969369312345,0.03445635657452934,0.010781143739006198
营业费用率,0.024830050249682392,0.031594561502891465,0.02905969369312345,0.03445635657452934,0.010781143739006198
经营安全边际率,0.23295592041325702,0.07064994117452453,0.0,0.054772265087290516,0.0
EPS=基本每股收益,0.238988439478,0.123143093223,0.0453658060075,0.0912216156424,0.0
营收增长率,-0.231854843581,0.0448194285427,-0.0921233913997,0.245590589557,0.227170707134
毛利率,0.0323710865001,0.0339964055555,0.0290596936931,0.0364529682127,0.010781143739
营业利润率,0.00754103625041,0.00240184405264,0.0,0.00199661163816,0.0
净利增长率,0.940737667227,1.71444737923,-0.502685786828,0.0,0.0
净资本增长率,0.137988005367,-0.0112185566313,-0.0627961885644,-0.0646511291362,-0.163019197456
现金流量比率,0.00918809971823,0.182799726711,0.078544599088,0.324975195882,0.25695564945
现金再投资比率,-0.0228655660658,0.253485054057,0.0459107838961,0.330050246629,0.33660184981
