,2017,2016,2015,2014,2013
负债占资产比率(%),0.628406558926,0.639346328797,0.622191413378,0.618339979878,0.616654793553
长期资金占不动产及设备比率(%),0.0,4.28791950415,0.0,0.0,0.0
流动比率(%),0.992805365823,0.846395719752,0.852026810131,0.762968512638,0.79700785656
速动比率(%),0.781197385531,0.743781990203,0.802197583955,0.699675622876,0.776269288902
应收款项周转率,19.3862513402,28.5756603656,0.0,0.0,0.0
应收款项周转天数,18.5698613766,12.5981340552,0.0,0.0,0.0
存货周转率,8.28552604228,18.6576416058,46.945017217,70.4966452751,17.2799846055
存货周转天数,43.4492629874,19.2950431575,7.66854548878,5.10662597625,20.8333518934
固定资产周转率,3.36292814973,3.7731588762,2.32073081245,1.40472105476,0.655915173754
总资产周转率,0.337807483417,0.46783834323,0.361827106724,0.259273776918,0.126048170519
ROA=资产收益率,0.0286487078381,0.0408702123369,0.032185881672,0.0251741100634,0.0389080980402
净资产收益率,0.0782172164643,0.110900105931,0.0847753769052,0.0658195548052,0.0920070468953
ROA=税前纯益占实收资本比率,0.552451538462,1.05241717538,0.759095520373,0.555968215836,0.926947009508
毛利率,0.159580648385,0.170231847931,0.208544291912,0.303853425214,0.611955167552
营业利润率,0.110218302893,0.100248467618,0.0990188282543,0.127460645812,0.408021295707
净利率,0.049362345491726134,0.0699833803126193,0.1095254636575373,0.176392779402751,0.20393387184532213
营业费用率,0.049362345491726134,0.0699833803126193,0.1095254636575373,0.176392779402751,0.20393387184532213
经营安全边际率,0.6906746150529894,0.588893728387202,0.47480958287833924,0.4194806944225494,0.666750306789474
EPS=基本每股收益,0.427080467685,0.822214144502,0.572826860926,0.415617748565,0.695638030202
营收增长率,-0.197414454459,0.461553774222,0.504390252451,1.46923283445,0.0382010198784
毛利率,0.159580648385,0.170231847931,0.208544291912,0.303853425214,0.611955167552
营业利润率,0.110218302893,0.100248467618,0.0990188282543,0.127460645812,0.408021295707
净利增长率,-0.22085905988,0.435362411553,0.378254087811,-0.223298541182,-0.155616142848
净资本增长率,0.0554527228298,0.177545085507,0.0794442172428,0.0764414918213,0.370359504503
现金流量比率,0.0960988630826,0.197220008711,0.252802806346,0.268701576355,0.334413303847
现金再投资比率,0.0198570482061,0.0670094787412,0.070894428325,0.0480988217358,0.0497289621366
