,2017,2016,2015,2014,2013
负债占资产比率(%),0.588646737169,0.512213978943,0.562372982326,0.620719924786,0.696673270501
长期资金占不动产及设备比率(%),1.05050617986,1.02084280339,1.01441033136,1.14433879914,0.0
流动比率(%),0.920915454831,0.78121692514,0.796683194578,0.287454824539,0.736126772962
速动比率(%),0.842782347895,0.560352079388,0.741250754842,0.215060050839,0.669644607061
应收款项周转率,4.84192745274,6.22606230796,0.0,0.0,6.68989135549
应收款项周转天数,74.350556367,57.8214579607,0.0,0.0,53.8125330996
存货周转率,14.5623186149,17.276939622,27.652949245,10.0488602025,7.09574876752
存货周转天数,24.7213379627,20.8370236787,13.0185029022,35.8249585273,50.734603464
固定资产周转率,0.450733014208,0.631241483988,0.702722376927,0.655259821847,1.08110623146
总资产周转率,0.294544186466,0.449087661123,0.683573481889,0.349150377119,0.399414236204
ROA=资产收益率,0.00931270074482,0.0536439133895,0.119348379818,0.0887042118803,0.369981195623
净资产收益率,0.020917169903,0.115934924266,0.28377718252,0.26038814485,0.0
ROA=税前纯益占实收资本比率,0.0863029961593,0.716403623941,1.08911184378,0.408764940825,1.39461243156
毛利率,0.108298941786,0.220200088615,0.315638227269,0.141819413729,0.0350489384115
营业利润率,0.0535072831912,0.159459632404,0.22965913846,0.216580019988,0.0650671026002
净利率,0.054791658594312696,0.06074045621122359,0.08597908880937058,-0.07476060625868006,-0.030018164188718714
营业费用率,0.054791658594312696,0.06074045621122359,0.08597908880937058,-0.07476060625868006,-0.030018164188718714
经营安全边际率,0.49407023105699255,0.7241578938810435,0.7276024214390878,1.5271535419089832,1.856464291051475
EPS=基本每股收益,0.0505471181879,0.516011428531,0.811113160141,0.408759457998,1.39461061908
营收增长率,-0.259830452082,-0.0701350800089,2.29209943388,0.0686592075151,-0.151196134883
毛利率,0.108298941786,0.220200088615,0.315638227269,0.141819413729,0.0350489384115
营业利润率,0.0535072831912,0.159459632404,0.22965913846,0.216580019988,0.0650671026002
净利增长率,-0.804085276437,-0.363823133579,1.26241639341,-0.706900655706,0.0
净资本增长率,0.257000750035,4.68505651927e-05,1.42084865311,-0.0332439991608,0.642593852919
现金流量比率,0.0548809151896,0.370901756057,0.500801769312,0.0478782443394,0.199859906009
现金再投资比率,-0.00866323925331,0.106610351671,0.158313660362,0.00243668096086,0.264951043945
