,2017,2016,2015,2014,2013
负债占资产比率(%),0.542955621844,0.564932301273,0.636561090866,0.607400042795,0.690290138107
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.69425901821,1.51395869759,1.29098845195,1.33934528739,1.11759334039
速动比率(%),1.2110597541,0.912847431508,0.800255672544,0.805636457623,0.591076232202
应收款项周转率,5.18803000291,6.36710652097,6.33425975587,7.41625315728,7.4756771617
应收款项周转天数,69.390500787,56.5405963941,56.8337917728,48.5420322588,48.15617264
存货周转率,4.69586373634,4.34930993641,4.1296178773,4.23130966441,4.41457519582
存货周转天数,76.6632126086,82.7717512119,87.1751359803,85.0800410634,81.5480502724
固定资产周转率,40.8632244825,32.3964267455,43.7075100371,46.5104234303,31.167599361
总资产周转率,1.34607485393,1.49927498415,1.47052136295,1.55659081242,1.50285760869
ROA=资产收益率,0.0201536532413,0.0335581908016,0.0649386205977,0.0721768567752,0.0514570165542
净资产收益率,0.0448911009172,0.0834940220903,0.172691547562,0.199255983489,0.129915709803
ROA=税前纯益占实收资本比率,0.261266702308,0.367074883505,0.572373303108,0.878108067189,0.739138081767
毛利率,0.105915824882,0.137207840978,0.154802653471,0.14186944478,0.171442053946
营业利润率,0.0180419214343,0.0225609507201,0.0460045632565,0.0539295732962,0.0246345067402
净利率,0.08787390344792337,0.1146468902583484,0.10879809021486705,0.08793987148405573,0.1468075472062177
营业费用率,0.08787390344792337,0.1146468902583484,0.10879809021486705,0.08793987148405573,0.1468075472062177
经营安全边际率,0.17034207545786417,0.16442901921054168,0.29718200705763187,0.38013522488735135,0.14368998838449903
EPS=基本每股收益,0.192558418186,0.283744998365,0.465793930441,0.706031114459,0.672644874093
营收增长率,0.3089301305,0.251382546109,0.385452884894,0.729895870812,0.927729640636
毛利率,0.105915824882,0.137207840978,0.154802653471,0.14186944478,0.171442053946
营业利润率,0.0180419214343,0.0225609507201,0.0460045632565,0.0539295732962,0.0246345067402
净利增长率,-0.124444276546,-0.365727888248,0.319471396946,1.34270010112,1.10367752205
净资本增长率,0.713512496422,0.161111328626,0.314497137511,0.729508372714,0.576640999087
现金流量比率,0.0,0.0149789077501,0.0,0.0,0.0
现金再投资比率,0.0,-0.0104621139796,0.0,0.0,0.0
