,2017,2016,2015,2014,2013
负债占资产比率(%),1.06103772999,0.885521175886,0.762659702179,0.762783799536,0.665064382958
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.55935251259,0.63855943343,0.818367107368,0.696076574329,0.759467745762
速动比率(%),0.0133685080775,0.0969189470021,0.117715419758,0.142776465668,0.171714342786
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.157994176446,0.798447079619,0.22072090555,0.132846553288,0.288580905408
存货周转天数,2278.56499586,450.875216641,1631.01904237,2709.8934153,1247.48378446
固定资产周转率,0.519837162295,2.09404809159,1.12005268278,0.481998807575,0.865819758022
总资产周转率,0.106845165901,0.380873660695,0.201564943635,0.1187852208,0.235476969615
ROA=资产收益率,0.0,0.0,0.0122345783116,0.0,0.0
净资产收益率,0.0,0.0,0.0515615652687,0.0,0.0
ROA=税前纯益占实收资本比率,0.0,0.0,0.0545275311147,0.0,0.0
毛利率,0.35512195685,0.187352261848,0.589160963277,0.603155043463,0.640290359303
营业利润率,0.0,0.0,0.0163234227679,0.0,0.0124611454235
净利率,0.3551219568502648,0.18735226184825596,0.5728375405093422,0.6031550434625534,0.6278292138791511
营业费用率,0.3551219568502648,0.18735226184825596,0.5728375405093422,0.6031550434625534,0.6278292138791511
经营安全边际率,0.0,0.0,0.02770621915806062,0.0,0.019461710210724896
EPS=基本每股收益,0.0,0.0,0.035760193847,0.0,0.0
营收增长率,-0.771488650058,0.701379705205,0.825095441958,-0.469174166431,-0.194444176795
毛利率,0.35512195685,0.187352261848,0.589160963277,0.603155043463,0.640290359303
营业利润率,0.0,0.0,0.0163234227679,0.0,0.0124611454235
净利增长率,0.0,0.0,0.0,0.0,0.0
净资本增长率,-0.0620225623919,-0.274895703434,0.0917843358653,0.0583800542533,0.0459332770718
现金流量比率,0.0,0.0533666443181,0.0,0.0,0.0
现金再投资比率,0.0,0.18345097164,0.0,0.0,0.0
