,2017,2016,2015,2014,2013
负债占资产比率(%),0.0781486498325,0.145720885647,0.133603559116,0.117592340115,0.109107859861
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),9.06209836998,2.28577952293,1.43153105677,1.6789152627,1.98173439138
速动比率(%),7.6724823023,1.78116200914,0.926993664887,0.937857919267,1.10752324646
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.79421375638,6.57122209864,4.0324607557,3.19008857283,4.1461497093
存货周转天数,200.644989327,54.7843300069,89.2755123508,112.849531222,86.8275448888
固定资产周转率,9.38482162988,25.4494272343,1.54555903822,1.27032916441,1.37675885621
总资产周转率,0.0538809635768,0.161697691522,0.12705669586,0.129218416134,0.150674203575
ROA=资产收益率,0.0395111355065,0.0292972834952,0.0144226551526,0.0145072654318,0.0293146331274
净资产收益率,0.0445273178139,0.034060940986,0.0164969346577,0.0163633729801,0.0331767060099
ROA=税前纯益占实收资本比率,0.0810401963188,0.0891893961304,0.0418312717826,0.0328476284783,0.0802289227826
毛利率,0.159226436366,0.0848934360187,0.053606990345,0.0611379411348,0.0858167847726
营业利润率,0.732633573004,0.18007189855,0.142508176386,0.0893459755964,0.190375346721
净利率,-0.5734071366381648,-0.09517846253130086,-0.08890118604068681,-0.028208034461597226,-0.10455856194842508
营业费用率,-0.5734071366381648,-0.09517846253130086,-0.08890118604068681,-0.028208034461597226,-0.10455856194842508
经营安全边际率,4.601205614624319,2.1211521996864433,2.6583879353887694,1.4613834541695663,2.218392907931192
EPS=基本每股收益,0.0810401963188,0.0891893961304,0.0417690474783,0.0405139473043,0.0802237944348
营收增长率,-0.663242019386,0.337774090864,0.0196790439659,-0.124843395692,0.1175921372
毛利率,0.159226436366,0.0848934360187,0.053606990345,0.0611379411348,0.0858167847726
营业利润率,0.732633573004,0.18007189855,0.142508176386,0.0893459755964,0.190375346721
净利增长率,0.362945593896,1.1352987802,0.0309794591103,-0.494988393533,-0.730552944414
净资本增长率,-0.0416905122477,0.0663964039204,0.035421789417,0.03869571954,0.00220421924623
现金流量比率,0.49863683212,0.0979077684442,0.0,0.0,0.0
现金再投资比率,0.00482427629756,0.0106587418314,0.0,0.0,0.0
