,2017,2016,2015,2014,2013
负债占资产比率(%),0.215059835118,0.181848306019,0.16700602692,0.112934377879,0.118288839556
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.47676524728,4.52269363189,5.02991084249,6.0830739569,6.08924032136
速动比率(%),2.15019297061,2.99836094879,3.46897983346,3.85957215495,4.16380325407
应收款项周转率,4.19804089272,6.16786914006,5.54697657679,7.40017434155,8.74108923959
应收款项周转天数,85.7542861539,58.3669970658,64.9002199697,48.6475025296,41.1847986141
存货周转率,2.02916773822,2.64392486193,2.31449660471,2.6559033584,2.91374678815
存货周转天数,177.412637319,136.161206842,155.541381771,135.547100711,123.552259745
固定资产周转率,3.57259353189,4.52660142791,3.8495756501,4.76063315757,5.04409329916
总资产周转率,0.463688404456,0.635604111324,0.660324657472,0.870147368517,0.839289568544
ROA=资产收益率,0.0756867083585,0.105046420928,0.119896192357,0.214431524148,0.227030914287
净资产收益率,0.0945346843032,0.127306161716,0.140218398662,0.242447637791,0.2627623321
ROA=税前纯益占实收资本比率,0.437331779712,0.531056352835,0.484295110826,0.717204715288,0.723627174754
毛利率,0.40088984579,0.417068062012,0.421526106069,0.455857050618,0.487453426438
营业利润率,0.187822169299,0.183390599761,0.205640821512,0.273993586422,0.295435209714
净利率,0.21306767649049452,0.2336774622507837,0.21588528455728265,0.18186346419591531,0.19201821672347413
营业费用率,0.21306767649049452,0.2336774622507837,0.21588528455728265,0.18186346419591531,0.19201821672347413
经营安全边际率,0.46851316208643246,0.43971384161215454,0.48784836467040127,0.6010515490558954,0.606078845056571
EPS=基本每股收益,0.363218335929,0.450335844882,0.40942259579,0.60966656461,0.61237547038
营收增长率,-0.183356654005,0.208420329772,-0.0509919677802,0.092828326171,0.099393476563
毛利率,0.40088984579,0.417068062012,0.421526106069,0.455857050618,0.487453426438
营业利润率,0.187822169299,0.183390599761,0.205640821512,0.273993586422,0.295435209714
净利增长率,-0.19345008829,0.099929142926,-0.30076695697,-0.0044236026762,0.190323200425
净资本增长率,0.117605314239,0.1214541466,0.449617855144,0.0429553717808,0.0659249034234
现金流量比率,0.0921001783722,0.847486783136,0.864790190753,1.65898778924,1.66290660899
现金再投资比率,-0.0124946636251,0.10932378906,0.0671830013325,0.103290445601,0.057461952626
