,2017,2016,2015,2014,2013
负债占资产比率(%),0.093880214642,0.188413133292,0.204788227616,0.217770824725,0.360207645871
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),5.43313690795,3.54498808519,6.49902160256,5.82065859759,2.5464595924
速动比率(%),5.31511358946,3.48867117655,6.39375508509,5.71217988836,2.32008855163
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,8.47834098892,12.8276919648,13.7146684118,11.6554786094,11.5325158692
存货周转天数,42.4611372048,28.0642847512,26.2492675135,30.8867625316,31.2160853784
固定资产周转率,0.645499564508,0.927571625228,0.879151651638,0.825303996462,0.791671669841
总资产周转率,0.196554935269,0.282624871196,0.293680907537,0.338456844127,0.387049795052
ROA=资产收益率,0.0723005711568,0.0924751173527,0.0928790133995,0.109516819075,0.114407710318
净资产收益率,0.0842570251355,0.115096712137,0.117736189026,0.151142005901,0.183209358185
ROA=税前纯益占实收资本比率,0.428139016348,0.741644857996,0.712876399165,1.00289735716,1.10812455079
毛利率,0.739479878568,0.747070304347,0.753312850713,0.751403398407,0.760954638913
营业利润率,0.438295039401,0.406942419387,0.386578656084,0.37879507066,0.362900390026
净利率,0.3011848391664328,0.34012788495997204,0.36673419462955503,0.3726083277468997,0.3980542488877096
营业费用率,0.3011848391664328,0.34012788495997204,0.36673419462955503,0.3726083277468997,0.3980542488877096
经营安全边际率,0.5927071879901992,0.5447177019606769,0.5131714608582113,0.5041167919433369,0.4769014754203126
EPS=基本每股收益,0.359720007078,0.603552812356,0.588104047977,0.852897542582,0.926098207505
营收增长率,-0.310793435326,-0.00805298361919,0.0582400768458,0.113284935447,0.13160355282
毛利率,0.739479878568,0.747070304347,0.753312850713,0.751403398407,0.760954638913
营业利润率,0.438295039401,0.406942419387,0.386578656084,0.37879507066,0.362900390026
净利增长率,-0.225194549903,0.0262687604904,0.0343048571239,0.218696042335,0.00621794274496
净资本增长率,-0.0315615547014,0.0138848148248,0.0484343148032,0.471417082036,0.0624437302162
现金流量比率,1.09507430085,0.806349871621,1.84557437683,1.33537588009,1.28673403265
现金再投资比率,0.069905918904,0.0962265819931,0.114259277766,0.0808340473649,0.116980126956
