,2017,2016,2015,2014,2013
负债占资产比率(%),0.740985639631,0.76146228092,0.764339081789,0.79065424692,0.803193212185
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.954641026887,0.898548539648
流动比率(%),1.00877361396,0.599784546761,0.653751579071,0.567667722102,0.150184686797
速动比率(%),0.0,0.0,0.0,0.0,0.0
应收款项周转率,2.6946524123,2.97404057909,3.4730531121,5.67412512939,12.8017503597
应收款项周转天数,133.597935807,121.047440486,103.655195697,63.4459043096,28.1211545207
存货周转率,798.519939681,758.93360239,1809.25768768,9136.28106375,1334.83201354
存货周转天数,0.450834077035,0.474349796697,0.198976631384,0.0394033411941,0.269696857994
固定资产周转率,0.128338184101,0.115708947216,0.159419137818,0.167102645411,0.0770700788611
总资产周转率,0.117101394012,0.107408200422,0.146580165943,0.120021787878,0.0614576069718
ROA=资产收益率,0.0331711100137,0.0134190446766,0.0343916483185,0.0285698731896,0.0
净资产收益率,0.133327020579,0.0566038741038,0.154661025381,0.14051091034,0.0
ROA=税前纯益占实收资本比率,2.16968468018,0.881527042316,2.38361732227,1.75776640236,0.0
毛利率,0.562132760525,0.493705474135,0.566378154379,0.549875459238,0.478274426788
营业利润率,0.315853423114,0.130779981501,0.243544171453,0.216816532714,0.0
净利率,0.24627933741018693,0.3629254926339248,0.32283398292592574,0.33305892652413777,0.4782744267883206
营业费用率,0.24627933741018693,0.3629254926339248,0.32283398292592574,0.33305892652413777,0.4782744267883206
经营安全边际率,0.5618840339773765,0.26489473654373424,0.4300027632953072,0.39430116232977963,0.0
EPS=基本每股收益,1.90282839857,0.784675536889,2.07426787698,1.6735445652,0.0
营收增长率,0.0695367951552,-0.289573921884,0.257471059777,1.11036399731,-0.425672507214
毛利率,0.562132760525,0.493705474135,0.566378154379,0.549875459238,0.478274426788
营业利润率,0.315853423114,0.130779981501,0.243544171453,0.216816532714,0.0
净利增长率,1.42498753831,-0.621709642426,0.239445856485,0.0,0.0
净资本增长率,0.00373114173177,-0.0407945506166,-0.0203760998646,0.0838368190915,0.0771545852845
现金流量比率,0.846292441881,1.68244052925,1.2848880445,0.598536627259,0.342519497888
现金再投资比率,0.0327741754628,0.0619033988808,0.0683313393463,0.0261774071516,-0.00796282927499
