,2017,2016,2015,2014,2013
负债占资产比率(%),0.356827722095,0.283392641034,0.228171537532,0.205574781334,0.381917265312
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.31540373923,2.81870614272,3.20501107811,4.05371136887,3.20506976495
速动比率(%),1.40816164175,1.77184671488,2.18276428077,3.08989953796,2.23510491772
应收款项周转率,0.869859649867,1.62761370352,1.69593824805,2.13484621364,3.03192940791
应收款项周转天数,413.859868146,221.182703992,212.271879836,168.63041361,118.736273694
存货周转率,0.836373594304,1.71804086705,2.31207227956,2.73132127142,2.24610316865
存货周转天数,430.429657813,209.54099923,155.704474805,131.804340912,160.27758877
固定资产周转率,13.2190551556,16.5951670001,12.6933167581,9.72538463165,8.81650238583
总资产周转率,0.31528962384,0.549228278955,0.590064705604,0.742242356352,0.88280968952
ROA=资产收益率,0.067251489422,0.075510928312,0.119381820289,0.149081440772,0.153858374737
净资产收益率,0.0993077108376,0.101666807904,0.152816044052,0.207527999283,0.237897770058
ROA=税前纯益占实收资本比率,0.316986208564,0.63686673836,0.792147092032,0.742562230022,1.22963622439
毛利率,0.334015570925,0.331050439103,0.334970910431,0.352871368087,0.339717430632
营业利润率,0.222469267777,0.138664623692,0.204179474134,0.209111942064,0.180658805508
净利率,0.11154630314795014,0.19238581541118224,0.1307914362974733,0.14375942602327013,0.15905862512371197
营业费用率,0.11154630314795014,0.19238581541118224,0.1307914362974733,0.14375942602327013,0.15905862512371197
经营安全边际率,0.6660446013366855,0.41886252761792914,0.6095438970233042,0.592601046657546,0.5317913925469275
EPS=基本每股收益,0.287217340752,0.567209677664,0.727962908845,0.685644795003,1.11023052634
营收增长率,-0.347227709508,0.150518466341,0.0886411931424,0.169149602011,0.266810490355
毛利率,0.334015570925,0.331050439103,0.334970910431,0.352871368087,0.339717430632
营业利润率,0.222469267777,0.138664623692,0.204179474134,0.209111942064,0.180658805508
净利增长率,0.0127378007203,-0.218170677644,0.0965930130666,0.347391751166,0.354410197052
净资本增长率,0.157899255095,0.113965023903,0.407971676899,0.318545408346,0.498486586687
现金流量比率,0.0,0.0,0.0,0.0,0.205563189082
现金再投资比率,0.0,0.0,0.0,0.0,0.0421437920653
