,2017,2016,2015,2014,2013
负债占资产比率(%),0.694798544018,0.675707924052,0.67890606243,0.716060766135,0.70768601954
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.768608988161,0.69928700632,0.558028149193,0.410772778757,0.568914293254
速动比率(%),0.575290903534,0.469244714982,0.383447363056,0.256939429677,0.355938898462
应收款项周转率,5.47316057196,10.5867226383,13.154022627,9.83262301211,8.31510938431
应收款项周转天数,65.7755231674,34.0048579999,27.3680538804,36.6128142569,43.294680005
存货周转率,7.34513706008,10.5900926354,11.1641794172,8.88574998324,8.07580278399
存货周转天数,49.0120193885,33.9940369169,32.2459884016,40.514306691,44.577611617
固定资产周转率,2.24138052328,2.50250649775,1.92324657616,1.94404984732,2.14717469882
总资产周转率,0.853269311791,1.25048440515,1.25544729689,1.117067023,1.12929322745
ROA=资产收益率,0.0398934988094,0.0701240280755,0.0351879861935,0.0,0.00777081340086
净资产收益率,0.127231138608,0.217247118156,0.114825464455,0.0,0.0278361665272
ROA=税前纯益占实收资本比率,0.280390145727,0.401833836886,0.1675586173,0.0,0.0396855490743
毛利率,0.122182875914,0.130836975021,0.137741096449,0.0730440946373,0.11699727686
营业利润率,0.0456365191709,0.0489499453907,0.0183964877119,0.0,0.0
净利率,0.07654635674349869,0.08188702963046535,0.1193446087372056,0.07304409463725874,0.11699727685955645
营业费用率,0.07654635674349869,0.08188702963046535,0.1193446087372056,0.07304409463725874,0.11699727685955645
经营安全边际率,0.3735099442486651,0.3741292962693711,0.13355845267804745,0.0,0.0
EPS=基本每股收益,0.255671562751,0.372768500943,0.153628195279,0.0,0.0398579923805
营收增长率,-0.175273822478,0.280152603702,0.299408047016,-0.105654207011,-0.0773912956172
毛利率,0.122182875914,0.130836975021,0.137741096449,0.0730440946373,0.11699727686
营业利润率,0.0456365191709,0.0489499453907,0.0183964877119,0.0,0.0
净利增长率,-0.312397882224,1.5612642747,0.0,0.0,-0.461930670271
净资本增长率,0.286323199813,0.121544202985,0.536788708519,-0.162554803129,-0.0312613227672
现金流量比率,0.0,0.207722547151,0.140013137873,0.297886260834,0.12075860561
现金再投资比率,0.0,0.340421447881,0.188172334068,0.570783563143,0.165508322076
