,2017,2016,2015,2014,2013
负债占资产比率(%),0.911464972007,0.915508000323,0.375347327515,0.130210295104,0.11317687139
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.800414876359,0.787296208222,3.95424642735,8.00077670733,6.78938519666
速动比率(%),0.559491114414,0.541850318919,3.06283817728,7.31442380435,5.29143734668
应收款项周转率,6.37994510302,3.26416380582,6.6428128036,5.14635931416,1.27250616633
应收款项周转天数,56.4268178153,110.288582748,54.1939101167,69.9523639964,282.906291165
存货周转率,4.16975384606,1.85525921539,3.79879485303,3.22778664749,1.44602843268
存货周转天数,86.3360316438,194.04296554,94.7668968522,111.531535171,248.957760349
固定资产周转率,5.10454156816,1.43513779674,7.61903265951,57.3808201406,1.58539350144
总资产周转率,0.367160232897,0.208092791041,1.08099607936,0.875967042465,0.321269623482
ROA=资产收益率,0.0,0.0,0.155675556248,0.382663895109,0.00550910626831
净资产收益率,0.0,0.0,0.233016234523,0.436645247094,0.00622161929906
ROA=税前纯益占实收资本比率,0.0,0.0,0.593190395324,0.581998698324,0.0262701195363
毛利率,0.238078760022,0.356638988476,0.403085747693,0.610909478005,0.381158454336
营业利润率,0.0,0.0,0.153602356908,0.459217280215,0.0
净利率,0.2380787600216807,0.3566389884756136,0.24948339078580775,0.15169219778985266,0.3811584543356357
营业费用率,0.2380787600216807,0.3566389884756136,0.24948339078580775,0.15169219778985266,0.3811584543356357
经营安全边际率,0.0,0.0,0.38106620684686254,0.7516944764300404,0.0
EPS=基本每股收益,0.0,0.0,0.518461083693,0.495533550893,0.0187734432683
营收增长率,1.79959029647,1.8332871644,3.273001098,2.50453028736,-0.114164433585
毛利率,0.238078760022,0.356638988476,0.403085747693,0.610909478005,0.381158454336
营业利润率,0.0,0.0,0.153602356908,0.459217280215,0.0
净利增长率,0.0,0.0,0.408638617927,88.2787402269,-0.823318504558
净资本增长率,-0.319340972301,15.887882683,3.6436097829,0.587559578944,-0.012990644971
现金流量比率,0.0,0.00850881366942,0.316521798929,2.49186361108,0.156376384344
现金再投资比率,0.0,-0.00393319161856,0.0664406803521,0.341836422792,0.000990510738945
