,2017,2016,2015,2014,2013
负债占资产比率(%),0.100109738382,0.104054078514,0.112879080918,0.166078322819,0.118983812177
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.58078063661,4.40273010288,3.51696046818,2.21596766343,3.64418404452
速动比率(%),3.54978387493,3.72953237882,2.93934103565,1.76010630786,2.77623471898
应收款项周转率,1.62481260084,2.30397679279,2.56253271519,3.52217114302,2.61367924701
应收款项周转天数,221.564012868,156.251573855,140.486011306,102.209684136,137.73687051
存货周转率,1.37461676446,2.19243200177,2.36106837393,3.82899190063,2.41818750413
存货周转天数,261.891175278,164.201215686,152.473348072,94.0195250715,148.871830404
固定资产周转率,1.11149076418,1.74623319081,1.72954016997,2.9597213655,1.20561440127
总资产周转率,0.268425724276,0.419094639022,0.456784281304,0.579055443212,0.367718885025
ROA=资产收益率,0.0125735121823,0.051388515236,0.0637023194502,0.0753767838758,0.226215947192
净资产收益率,0.0140031324743,0.0576337840671,0.0740136297746,0.0880500098758,0.256479092933
ROA=税前纯益占实收资本比率,0.0320819123297,0.131279617356,0.154149846783,0.17203058905,0.706675128204
毛利率,0.726331500083,0.767233751212,0.733697125239,0.608970598919,0.573130836008
营业利润率,0.0503094026626,0.148207355445,0.156467071994,0.134637598071,0.77772023511
净利率,0.6760220974201654,0.6190263957664226,0.5772300532455122,0.4743330008480169,-0.20458939910201845
营业费用率,0.6760220974201654,0.6190263957664226,0.5772300532455122,0.4743330008480169,-0.20458939910201845
经营安全边际率,0.0692650706417538,0.19317105798759224,0.21325839588490886,0.22109047351403247,1.3569680537990634
EPS=基本每股收益,0.0270830980998,0.108711273914,0.130746075808,0.145128074441,0.549705779069
营收增长率,-0.347853378185,-0.0543377502409,-0.159087922883,1.49540450001,1.17036503634
毛利率,0.726331500083,0.767233751212,0.733697125239,0.608970598919,0.573130836008
营业利润率,0.0503094026626,0.148207355445,0.156467071994,0.134637598071,0.77772023511
净利增长率,-0.750871302261,-0.168531267634,-0.0990986663888,-0.471979084205,17.4314686025
净资本增长率,-0.0110768983506,0.0489094299954,0.0122804266543,0.126529100309,1.92445025634
现金流量比率,0.0,0.667128233512,0.506436791316,0.753420238542,0.260880203071
现金再投资比率,0.0,0.0507265335627,0.0413755967949,0.0904116820205,0.0140247097407
