,2017,2016,2015,2014,2013
负债占资产比率(%),0.436860667005,0.44672909786,0.425230895366,0.379692038449,0.418340118691
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.43739834899,1.25147432087,1.26176006778,1.57163000139,1.40990972013
速动比率(%),0.775222714408,0.818910974636,0.945813997418,0.990966196711,0.795210720047
应收款项周转率,5.09391328752,11.5818922265,11.0002071427,12.1965032269,11.5614971084
应收款项周转天数,70.6725811141,31.0830037923,32.7266564466,29.5166568074,31.1378359242
存货周转率,2.42905419556,3.00102324098,3.16579273842,3.33832152551,2.91090245224
存货周转天数,148.205832812,119.959084316,113.715593454,107.838624066,123.67298661
固定资产周转率,7.41859555329,8.27092544237,9.0664464228,8.79684105152,6.78845697356
总资产周转率,0.617995721606,0.630610855356,0.788732164539,0.862988847155,0.755224780024
ROA=资产收益率,0.074208882141,0.0,0.0832452993599,0.0759926138049,0.077487752744
净资产收益率,0.132813135241,0.0,0.139837500565,0.126488750879,0.123578904472
ROA=税前纯益占实收资本比率,0.315193261912,0.0,0.282970038132,0.339027756335,0.359078014587
毛利率,0.338940461352,0.368361499274,0.445059234003,0.389076569406,0.410002188455
营业利润率,0.130883604488,0.0,0.114138235386,0.0985483073836,0.105760305385
净利率,0.20805685686356865,0.3683614992742678,0.33092099861778207,0.2905282620218735,0.30424188307010597
营业费用率,0.20805685686356865,0.3683614992742678,0.33092099861778207,0.2905282620218735,0.30424188307010597
经营安全边际率,0.3861551493914146,0.0,0.2564562796706694,0.25328769484684976,0.25795058749215444
EPS=基本每股收益,0.287108611954,0.0,0.255053247795,0.275588481857,0.328321278218
营收增长率,0.113407819064,-0.111695451005,0.00318718898977,0.269215461632,0.0863744834584
毛利率,0.338940461352,0.368361499274,0.445059234003,0.389076569406,0.410002188455
营业利润率,0.130883604488,0.0,0.114138235386,0.0985483073836,0.105760305385
净利增长率,0.0,0.0,0.202391633631,0.089293015349,0.350531081332
净资本增长率,0.246513952019,0.0231971665735,0.218037577808,-0.0203223995131,0.27823330763
现金流量比率,0.0,0.0,0.667755760588,0.330291851582,0.199696381248
现金再投资比率,0.0,0.0,0.43035257026,0.118161466838,0.107627472689
