,2017,2016,2015,2014,2013
负债占资产比率(%),0.35367830389,0.263236599646,0.393173800413,0.312042006822,0.260125164385
长期资金占不动产及设备比率(%),1.47172066363,1.49579018136,1.36757382469,1.52465667803,1.62682943408
流动比率(%),1.48821454114,1.88369374117,1.35678275076,1.87738993407,2.0477231995
速动比率(%),0.865317845003,1.16726609437,0.758689451952,0.902717495725,1.10119930728
应收款项周转率,3.60178630257,4.8598456858,4.84230752842,4.75613740087,5.25863542825
应收款项周转天数,99.950405093,74.0764261408,74.3447205463,75.691673654,68.4588245206
存货周转率,2.94889911565,3.63564411098,2.84869134959,2.89514267723,3.68880617023
存货周转天数,122.079456055,99.0195929553,126.373817245,124.346203326,97.592549835
固定资产周转率,1.18180707709,1.49889078993,1.26881435761,1.51376497198,2.54662890751
总资产周转率,0.55728362018,0.698841224158,0.647590292365,0.685742151122,0.875071763024
ROA=资产收益率,0.0695968702269,0.0787991626102,0.0629523351258,0.0495513396002,0.0697585349754
净资产收益率,0.101344866381,0.116187791093,0.0979264379806,0.0695671004407,0.0890022597209
ROA=税前纯益占实收资本比率,0.555726231458,0.492748709635,0.830850618502,0.561046622649,0.663250145782
毛利率,0.259715342183,0.242245128554,0.241264710567,0.220037519885,0.222692938682
营业利润率,0.149767023041,0.123230792896,0.104247499721,0.0835356499707,0.0992087310255
净利率,0.1099483191420697,0.11901433565823141,0.1370172108467676,0.13650186991407554,0.12348420765611462
营业费用率,0.1099483191420697,0.11901433565823141,0.1370172108467676,0.13650186991407554,0.12348420765611462
经营安全边际率,0.5766583590413509,0.5087028731238059,0.432087641311092,0.3796427537197159,0.44549563004942827
EPS=基本每股收益,0.462852807342,0.426258144665,0.71502640678,0.470222914053,0.567203317077
营收增长率,-0.0196077557282,0.331234006233,0.130319793222,-0.0854148339655,0.127009901334
毛利率,0.259715342183,0.242245128554,0.241264710567,0.220037519885,0.222692938682
营业利润率,0.149767023041,0.123230792896,0.104247499721,0.0835356499707,0.0992087310255
净利增长率,0.0858509406459,0.544137518192,0.520611576786,-0.170979964509,-0.0356993693967
净资本增长率,0.238026511879,0.218940671091,0.251964839594,0.134454845685,0.206479230285
现金流量比率,0.0440906684869,0.304704202281,0.214675551591,0.344853887781,0.297714908671
现金再投资比率,-0.00831785685447,0.0456945567277,0.0732224535313,0.0640689864965,0.0552019074517
