,2017,2016,2015,2014,2013
负债占资产比率(%),0.258817564886,0.287577328409,0.336598491759,0.352765114289,0.387285089357
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.86024063436,2.5610212658,2.09901809832,2.0046639425,1.87619624063
速动比率(%),2.18103684076,2.10051406822,1.72369633876,1.46619154844,1.29531431587
应收款项周转率,0.736753034786,0.926595748579,1.25666443682,1.66257938857,2.03342566992
应收款项周转天数,488.630494891,388.518942108,286.472656863,216.531013481,177.041140635
存货周转率,2.07814353895,2.84795617819,3.0242056708,2.68144104318,2.62785110637
存货周转天数,173.231537308,126.406439382,119.039522833,134.256168308,136.994062992
固定资产周转率,1.00600282064,1.29033208135,1.55916039929,1.56048604012,1.76948452928
总资产周转率,0.277819638252,0.361027115827,0.435526473722,0.437558803481,0.441051984718
ROA=资产收益率,0.000650765875342,0.00861582290454,0.0,0.00549346427029,0.0
净资产收益率,0.000895724619754,0.0125377185323,0.0,0.00872563953014,0.0
ROA=税前纯益占实收资本比率,0.000734496950203,0.0400617713367,0.0,0.0254321515368,0.0
毛利率,0.196950086047,0.208295484764,0.152103463871,0.180934230946,0.132902766684
营业利润率,0.0,0.0104600145492,0.0,0.0,0.0
净利率,0.19695008604737008,0.19783547021467535,0.15210346387089524,0.1809342309464765,0.13290276668391449
营业费用率,0.19695008604737008,0.19783547021467535,0.15210346387089524,0.1809342309464765,0.13290276668391449
经营安全边际率,0.0,0.05021719295117089,0.0,0.0,0.0
EPS=基本每股收益,0.00249307855611,0.0346634212294,0.0,0.0252735322135,0.0
营收增长率,-0.267243549568,-0.227649009997,-0.065791723216,0.0371320342169,0.151021599171
毛利率,0.196950086047,0.208295484764,0.152103463871,0.180934230946,0.132902766684
营业利润率,0.0,0.0104600145492,0.0,0.0,0.0
净利增长率,-0.928077539155,0.0,0.0,0.0,0.0
净资本增长率,-0.0379398736294,-0.0570619032331,-0.0785997587276,-0.0450381436874,0.149372506774
现金流量比率,0.0,0.0103031255105,0.0,0.0,0.0
现金再投资比率,0.0,0.000768116190124,0.0,0.0,0.0
