,2017,2016,2015,2014,2013
负债占资产比率(%),0.590278466885,0.451718813109,0.507416768757,0.492818443144,0.290090890461
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.42747976918,1.74826443499,1.67575205374,1.64963433531,2.53604487812
速动比率(%),0.0,0.0,0.0,0.0,0.0
应收款项周转率,4.14577789756,5.77981985699,5.57195869166,5.67808577784,6.00299497364
应收款项周转天数,86.8353319679,62.2856782577,64.6092370603,63.4016487397,59.9700652059
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,0.0,0.0,0.0,0.0,0.0
固定资产周转率,30.4872417027,37.8612745715,25.8839314453,15.587633762,10.6317205531
总资产周转率,0.54140803851,0.825958280538,0.818232247634,1.00041485566,1.06003404584
ROA=资产收益率,0.0585219666769,0.103133480828,0.0944952242758,0.126699612864,0.144981064891
净资产收益率,0.125603551387,0.197899573287,0.189825010318,0.217047196325,0.213492709171
ROA=税前纯益占实收资本比率,0.400984482288,0.54477754668,0.521926257275,0.737124311709,1.12463131662
毛利率,0.245410271862,0.27831522184,0.325381227767,0.338209414803,0.356969928948
营业利润率,0.153676094353,0.175448137975,0.158697304312,0.169008535964,0.183356385775
净利率,0.09173417750846874,0.10286708386459467,0.16668392345576993,0.16920087883900356,0.17361354317238492
营业费用率,0.09173417750846874,0.10286708386459467,0.16668392345576993,0.16920087883900356,0.17361354317238492
经营安全边际率,0.6262007420777205,0.6303936120182948,0.48772728961814527,0.49971564529755713,0.5136465873072134
EPS=基本每股收益,0.274586370874,0.382839638378,0.37629472825,0.548551048946,0.826135534644
营收增长率,-0.171467724159,0.331037140004,0.423914827481,0.290727513366,0.364741548544
毛利率,0.245410271862,0.27831522184,0.325381227767,0.338209414803,0.356969928948
营业利润率,0.153676094353,0.175448137975,0.158697304312,0.169008535964,0.183356385775
净利增长率,-0.282763999993,0.439124840529,0.298440715203,0.195193581074,0.558047097417
净资本增长率,0.465276088656,0.0521933648583,0.797402408028,0.647933502608,0.0682362974751
现金流量比率,0.0,0.652595379909,0.121486407981,0.0,0.639396300628
现金再投资比率,0.0,0.493854511919,0.0611820291805,0.0,0.19682888549
