,2017,2016,2015,2014,2013
负债占资产比率(%),0.425544144221,0.670547481129,0.531197784858,0.411667923715,0.362463459732
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.60213302385,0.964270800094,1.15748701404,1.47106826694,1.61464461846
速动比率(%),1.21199005186,0.804989038411,0.845769675319,1.13996684603,1.17904684658
应收款项周转率,5.54916256629,8.67442262961,4.95448527683,4.59627622537,5.47054473052
应收款项周转天数,64.8746537337,41.5013212258,72.6614330016,78.324274336,65.8069749419
存货周转率,7.83215702933,10.6892190914,6.37163991903,6.50563683268,6.59333645921
存货周转天数,45.9643491125,33.6787932704,56.5003679704,55.3366271833,54.6005807874
固定资产周转率,4.99012762125,6.28303245298,2.60650133919,2.62192274973,3.24137546604
总资产周转率,0.550955311284,0.917928070923,0.724564989478,0.882583846385,0.999426996954
ROA=资产收益率,0.02468642675,0.0335680613492,0.0090735768694,0.0157337934157,0.0166003806798
净资产收益率,0.0538867711754,0.0874163087283,0.0174009894384,0.0257103011402,0.0247262389162
ROA=税前纯益占实收资本比率,0.258695905845,0.316010602388,0.011010792484,0.082257856792,0.0861689676497
毛利率,0.185983379494,0.17423840548,0.170396255132,0.181330613873,0.173830714292
营业利润率,0.0474678592286,0.0350683164657,0.0,0.0166553646259,0.0172198881615
净利率,0.1385155202650393,0.1391700890147827,0.17039625513191253,0.16467524924693314,0.15661082613035404
营业费用率,0.1385155202650393,0.1391700890147827,0.17039625513191253,0.16467524924693314,0.15661082613035404
经营安全边际率,0.2552263506440788,0.20126628437043245,0.0,0.09185081476400041,0.09906125181428949
EPS=基本每股收益,0.230778235826,0.280433435762,0.0530239913706,0.0773827133163,0.0725936643876
营收增长率,-0.230793177079,0.811093805259,-0.0311478577831,-0.0267435092235,0.146296010701
毛利率,0.185983379494,0.17423840548,0.170396255132,0.181330613873,0.173830714292
营业利润率,0.0474678592286,0.0350683164657,0.0,0.0166553646259,0.0172198881615
净利增长率,-0.0575303430113,4.28880283271,-0.319416819252,0.0445706214467,-0.602005301016
净资本增长率,0.105939455004,0.554543014309,0.270787367776,0.0820680979687,0.124636196492
现金流量比率,0.0,0.173578157659,0.0,0.09699339457,0.0
现金再投资比率,0.0,0.186567323505,0.0,0.0558939048846,0.0
