,2017,2016,2015,2014,2013
负债占资产比率(%),0.0925033008109,0.114522688139,0.0958691093125,0.260387551733,0.104367702245
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.05738511068,3.33217284832,3.40537653055,1.66333868002,3.69863983761
速动比率(%),2.6583879107,2.43874413947,2.440557109,1.33096023899,2.90394276521
应收款项周转率,7.01008640397,9.8739731115,12.266041974,18.1145823777,23.9936964848
应收款项周转天数,51.3545738603,36.4594875776,29.3493207314,19.8734915603,15.003940732
存货周转率,4.1931314898,5.78300654932,6.88553473055,6.96303661413,7.95929106299
存货周转天数,85.8546890018,62.2513560948,52.2835210463,51.701580783,45.2301589615
固定资产周转率,0.974063650271,1.20536518395,1.75645025958,2.17861678424,2.54215889451
总资产周转率,0.44086273721,0.576853956999,0.62868563558,0.654366384766,0.723468076524
ROA=资产收益率,0.0,0.0831314340909,0.119971384042,0.0325304427283,0.0589006343553
净资产收益率,0.0,0.0929436572512,0.146763595398,0.0401570825987,0.0656004808312
ROA=税前纯益占实收资本比率,0.0,0.390556470407,0.961366249784,0.258868291035,0.407638124518
毛利率,0.0953821298487,0.116319435527,0.0939697922268,0.166898310673,0.189671447959
营业利润率,0.0,0.0,0.0,0.0601036606918,0.0948266821798
净利率,0.09538212984868,0.11631943552725856,0.09396979222683144,0.10679464998084802,0.09484476577904079
营业费用率,0.09538212984868,0.11631943552725856,0.09396979222683144,0.10679464998084802,0.09484476577904079
经营安全边际率,0.0,0.0,0.0,0.3601214443068674,0.49995232914737714
EPS=基本每股收益,0.0,0.280185089741,0.820237466863,0.213710400244,0.34484846567
营收增长率,-0.230096921296,-0.0953509158404,-0.000140893062478,0.0149133536204,-0.0651673618892
毛利率,0.0953821298487,0.116319435527,0.0939697922268,0.166898310673,0.189671447959
营业利润率,0.0,0.0,0.0,0.0601036606918,0.0948266821798
净利增长率,0.0,-0.31681957711,2.83807931634,-0.380277363772,0.0264626524766
净资本增长率,-0.0632595387544,0.0839768340575,-0.102098914483,0.214071830805,0.0275704393503
现金流量比率,0.0,0.0,0.0,0.134312986759,0.763595298378
现金再投资比率,0.0,0.0,0.0,0.00943500533674,0.0513521674097
