,2017,2016,2015,2014,2013
负债占资产比率(%),0.388516962754,0.452207427768,0.515239814833,0.446850150158,0.476621315916
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.1129571477,0.961693972419,0.748414011784,1.04948208347,1.13650986198
速动比率(%),0.683494733921,0.7446318531,0.355782624542,0.658459263067,0.62978124974
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.518023335289,0.654770269027,0.464051116171,0.522923579101,0.655176107592
存货周转天数,694.94938833,549.811158248,775.776606186,688.437114691,549.470586348
固定资产周转率,3.43991892721,5.74138907924,4.76278355703,3.84681357756,7.45633322285
总资产周转率,0.0985410928706,0.185367074427,0.193705869601,0.299607609163,0.426102808384
ROA=资产收益率,0.0196049475356,0.0453490745085,0.0589460683355,0.118394789859,0.153086783511
净资产收益率,0.0339019988546,0.0871932837194,0.114221236375,0.219522001902,0.30211252876
ROA=税前纯益占实收资本比率,0.280042346326,0.580342007869,0.678833395018,1.14640233599,1.25179644804
毛利率,0.493843341371,0.594148083074,0.64006071893,0.692555154603,0.716494969161
营业利润率,0.282262368282,0.302722186139,0.36909718526,0.494081421977,0.455152680611
净利率,0.21158097308912172,0.2914258969349714,0.2709635336697985,0.19847373262586854,0.2613422885504941
营业费用率,0.21158097308912172,0.2914258969349714,0.2709635336697985,0.19847373262586854,0.2613422885504941
经营安全边际率,0.5715625677935415,0.509506291046079,0.5766596423493742,0.7134181569415409,0.6352489552629065
EPS=基本每股收益,0.192334099281,0.413661344485,0.499027410634,0.856411673589,0.93875157608
营收增长率,-0.427149931077,0.180116327482,-0.241413621279,-0.168141572566,0.296706463471
毛利率,0.493843341371,0.594148083074,0.64006071893,0.692555154603,0.716494969161
营业利润率,0.282262368282,0.302722186139,0.36909718526,0.494081421977,0.455152680611
净利增长率,-0.535044543452,-0.0506139165963,-0.417304287151,-0.0877121323565,0.452628098865
净资本增长率,-0.0816181765631,0.276004180669,0.184340369642,0.15422410284,0.210326586711
现金流量比率,0.156644548733,0.106365037963,0.0362246347994,0.224064514403,0.401847006256
现金再投资比率,0.0459516479925,0.0468392450639,-0.00397251665529,0.0920185294175,0.292045141972
