,2017,2016,2015,2014,2013
负债占资产比率(%),0.561446253585,0.474160755112,0.399944704101,0.341840337068,0.283449812147
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.43321025537,1.45604078421,1.76136379897,2.08647931127,2.83437890734
速动比率(%),1.00112553888,1.08662026575,1.33948293076,1.56852892273,2.23813833644
应收款项周转率,1.57932689436,2.39174334645,2.32581703744,3.18147477394,2.94219182102
应收款项周转天数,227.945209625,150.517822297,154.784316309,113.155069765,122.357759759
存货周转率,2.408242655,3.75363440819,3.75101189699,3.86941333707,3.42081395441
存货周转天数,149.486597313,95.9070492361,95.9741024253,93.0373595789,105.238111396
固定资产周转率,3.35399662933,4.14640249296,5.85411882162,6.73766240804,5.28157419493
总资产周转率,0.548006842405,0.830226246269,0.802334886717,0.851234428979,0.675177303538
ROA=资产收益率,0.00844442755759,0.0387582113268,0.0234191301089,0.0486187932315,0.0441163300058
净资产收益率,0.0176553867857,0.0692919347278,0.0373298221464,0.0709794469573,0.0629744590214
ROA=税前纯益占实收资本比率,0.0661027912559,0.452465893531,0.248055002703,0.417030903427,0.345911969764
毛利率,0.232669939018,0.262034551173,0.238075816807,0.27671858329,0.29477762149
营业利润率,0.0135990953376,0.0440647124439,0.0226277486277,0.0625490848498,0.0681294024128
净利率,0.21907084368029497,0.21796983872919773,0.21544806817959491,0.21416949844029037,0.22664821907695348
营业费用率,0.21907084368029497,0.21796983872919773,0.21544806817959491,0.21416949844029037,0.22664821907695348
经营安全边际率,0.05844801178439184,0.1681637488133204,0.09504429694367052,0.22603861333092434,0.23112135198217673
EPS=基本每股收益,0.0562560552964,0.379963236119,0.19553021335,0.35266170263,0.297376665338
营收增长率,-0.204732264323,0.21499787724,0.0849144296087,0.3566816798,-0.116256201101
毛利率,0.232669939018,0.262034551173,0.238075816807,0.27671858329,0.29477762149
营业利润率,0.0135990953376,0.0440647124439,0.0226277486277,0.0625490848498,0.0681294024128
净利增长率,-0.737499382731,0.943245647868,-0.445558698629,0.185909130525,-0.22954946599
净资本增长率,0.196519131445,0.214915129423,0.128222062421,0.177909226149,-0.0233603916447
现金流量比率,0.0,0.0550895885148,0.0454855064637,0.0119201001601,0.262744649642
现金再投资比率,0.0,0.0353377426368,-0.000940169669201,-0.00954158379673,0.0567331425872
