,2017,2016,2015,2014,2013
负债占资产比率(%),0.386732495412,0.407661789203,0.363465851235,0.301137016395,0.203753625351
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.05020153735,3.01450585755,2.59697376926,3.12622407186,4.38885852114
速动比率(%),2.58967049811,2.67576693496,2.30972323145,2.74055816934,3.84896447992
应收款项周转率,1.70546525837,2.52800475453,2.91693196705,3.50964191646,3.85290095663
应收款项周转天数,211.086094092,142.404795463,123.417345371,102.574567027,93.4360898587
存货周转率,3.34082049287,5.61414372519,5.92368546915,5.14877248837,4.60134607493
存货周转天数,107.757959689,64.123759138,60.7729768697,69.9195780767,78.237975179
固定资产周转率,9.46887294513,11.1867165399,13.3906551446,11.4855602002,14.6061478883
总资产周转率,0.647562726386,0.891042363438,0.979379096464,0.974667182927,0.871489462638
ROA=资产收益率,0.142944344013,0.207109804333,0.227969154995,0.264730209683,0.249547963793
净资产收益率,0.236990371806,0.338948108407,0.344235328639,0.358900494033,0.30962785542
ROA=税前纯益占实收资本比率,0.735037036413,1.36172005392,1.65898735851,1.27947371955,0.842859396978
毛利率,0.441838886669,0.415809989915,0.401030439811,0.444194085804,0.476187687391
营业利润率,0.241046378146,0.213948635876,0.217399732445,0.254020496571,0.274239565844
净利率,0.20079250852311,0.20186135403805916,0.1836307073655897,0.19017358923252248,0.2019481215467745
营业费用率,0.20079250852311,0.20186135403805916,0.1836307073655897,0.19017358923252248,0.2019481215467745
经营安全边际率,0.5455526559989943,0.5145346217401852,0.542102820294081,0.5718682546427157,0.5759064610565888
EPS=基本每股收益,0.663258257987,1.21589866272,1.44574271523,1.15029588815,0.765965140226
营收增长率,-0.131383159127,0.263247511397,0.466443629491,0.603690964328,0.489634131265
毛利率,0.441838886669,0.415809989915,0.401030439811,0.444194085804,0.476187687391
营业利润率,0.241046378146,0.213948635876,0.217399732445,0.254020496571,0.274239565844
净利增长率,-0.175081444731,0.261436804572,0.256734311224,0.521163696208,0.437588806663
净资本增长率,0.0717337225642,0.363583735191,0.423940889791,0.513021205626,0.328820654341
现金流量比率,0.00759555420765,0.512853946082,0.313081152777,0.606404144614,0.660055848712
现金再投资比率,-0.116703467872,0.112335059006,0.0780518457539,0.176344382173,0.11211451981
