,2017,2016,2015,2014,2013
负债占资产比率(%),0.535597599503,0.515190460159,0.476693110783,0.425343954076,0.397401967063
长期资金占不动产及设备比率(%),0.0,0.0,1.1206665584,1.32855670983,0.0
流动比率(%),0.871223534198,0.919595893918,0.958631953594,1.22624055161,1.3850455841
速动比率(%),0.573102151279,0.65092946541,0.639630870598,0.803215436333,0.886343309079
应收款项周转率,1.25096153946,1.40622168592,1.81997050924,2.69627352608,2.7565821081
应收款项周转天数,287.778631591,256.005154525,197.805402984,133.517611072,130.596508967
存货周转率,1.80461301702,2.09250258408,2.51393540407,2.72540656236,3.04236524619
存货周转天数,199.488752772,172.042798293,143.201770187,132.090384228,118.328987767
固定资产周转率,0.390419121698,0.427411931829,0.77714275763,1.15135243121,1.44400427821
总资产周转率,0.210173373347,0.240923521587,0.271670022176,0.374099684988,0.44977040103
ROA=资产收益率,0.0,0.0014324852893,0.0,0.0,0.000791300483936
净资产收益率,0.0,0.00284623895544,0.0,0.0,0.00128875867168
ROA=税前纯益占实收资本比率,0.0,0.0103340787363,0.0,0.0,0.0365482178686
毛利率,0.040791069183,0.0942581274759,0.0193545631245,0.134525151498,0.114284851889
营业利润率,0.0,0.0,0.0,0.0,0.0
净利率,0.040791069182983065,0.09425812747585892,0.019354563124497643,0.1345251514975109,0.11428485188882055
营业费用率,0.040791069182983065,0.09425812747585892,0.019354563124497643,0.1345251514975109,0.11428485188882055
经营安全边际率,0.0,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.0,0.0103340787363,0.0,0.0,0.00497336596421
营收增长率,-0.110860963476,-0.0840930327015,-0.216679222028,-0.0740291582954,-0.290350021268
毛利率,0.040791069183,0.0942581274759,0.0193545631245,0.134525151498,0.114284851889
营业利润率,0.0,0.0,0.0,0.0,0.0
净利增长率,0.0,0.0,0.0,0.0,-0.967619428345
净资本增长率,-0.0397192448269,0.0830712840739,-0.0166455782076,0.192296280484,0.0317373736145
现金流量比率,0.0,0.0,0.0,0.0255808157262,0.00221568662653
现金再投资比率,0.0,0.0,0.0,-0.00136343128101,-0.016944291328
