,2017,2016,2015,2014,2013
负债占资产比率(%),0.432060192278,0.368738289863,0.487394488169,0.349485804421,0.469500387663
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.92432411051,2.22587289927,1.44569747996,2.18665193501,1.98959395688
速动比率(%),1.54181271247,1.92256364436,1.19102861225,1.78877634021,1.55913628834
应收款项周转率,2.18880998226,3.10782286139,3.46156758525,4.85742954257,5.39657506109
应收款项周转天数,164.472934114,115.836717875,103.999125001,74.1132726363,66.7089766982
存货周转率,4.07981545523,5.86685285245,6.12890293349,7.31151697527,6.29585734802
存货周转天数,88.2392853184,61.361688976,58.7380814979,49.2373882489,57.1804569418
固定资产周转率,6.04301406063,6.75171160407,5.64061113683,22.8125849327,27.9988677569
总资产周转率,0.498331531784,0.687514617443,0.745566581122,1.00751076908,1.07551494685
ROA=资产收益率,0.0365454277255,0.0325961376112,0.0421443682872,0.0943581033902,0.100826904809
净资产收益率,0.0612027133672,0.056231291305,0.0738381277594,0.160156710705,0.177313496221
ROA=税前纯益占实收资本比率,0.125214000118,0.236129048314,0.250245422011,0.48964032306,0.693080166979
毛利率,0.119015364985,0.155205080235,0.127427844659,0.150801583597,0.131679497945
营业利润率,0.0840789791611,0.040755918003,0.0561943570354,0.101871586697,0.104819552371
净利率,0.03493638582440897,0.11444916223234913,0.07123348762356425,0.048929996900004075,0.02685994557304963
营业费用率,0.03493638582440897,0.11444916223234913,0.07123348762356425,0.048929996900004075,0.02685994557304963
经营安全边际率,0.7064548276714688,0.26259396883917024,0.4409896218979226,0.6755339318534692,0.7960202917513922
EPS=基本每股收益,0.107698366437,0.195779365888,0.215157218335,0.415574644381,0.59461925363
营收增长率,-0.110897703274,0.226623518628,-0.142346813531,0.0489225712653,0.0494371521449
毛利率,0.119015364985,0.155205080235,0.127427844659,0.150801583597,0.131679497945
营业利润率,0.0840789791611,0.040755918003,0.0561943570354,0.101871586697,0.104819552371
净利增长率,0.375251752607,0.028827059943,-0.482351076998,0.0478833789335,0.18444946098
净资本增长率,0.16995315561,0.300340352108,0.371133133901,-0.0438708677998,0.338728227739
现金流量比率,0.0,0.151419501791,0.00664821708821,0.461852505975,0.0270402540576
现金再投资比率,0.0,0.0527846423303,-0.0354540427429,0.214849090621,-0.0229911037712
