,2017,2016,2015,2014,2013
负债占资产比率(%),0.525766317441,0.494607927193,0.334783639915,0.369055261076,0.323820282762
长期资金占不动产及设备比率(%),1.53440626162,1.51049577442,1.55028457805,1.7849956956,1.87823608396
流动比率(%),0.939188874896,0.938828612978,1.19127812387,1.30314890572,1.64769206472
速动比率(%),0.706578292837,0.708078562285,0.818824082449,0.944032086006,1.25444083734
应收款项周转率,2.82773676284,3.00163670636,2.98697896991,3.41522532853,4.0164504465
应收款项周转天数,127.310294484,119.934567443,120.523111688,105.410321536,89.6313809409
存货周转率,5.09949575874,4.83658235669,3.77649163049,4.03390881039,5.62729879961
存货周转天数,70.5952151021,74.4327240705,95.32657165,89.2434650662,63.9738554535
固定资产周转率,2.10400943153,2.14348757462,1.50381672301,1.74854089384,2.12466277841
总资产周转率,0.556197628849,0.621817493687,0.543092913608,0.551991450403,0.733028123422
ROA=资产收益率,0.0014104728962,0.0,0.0139112725089,0.0187991554994,0.0308792376857
净资产收益率,0.0028827097777,0.0,0.0214679340284,0.0288070936675,0.0476210943985
ROA=税前纯益占实收资本比率,0.0179678632592,0.0,0.0669510550674,0.079108462279,0.204066812218
毛利率,0.150634142998,0.178831974841,0.194796965355,0.177975141453,0.160648718655
营业利润率,0.00718366768638,0.0,0.0262513425526,0.0407595670822,0.0441813055708
净利率,0.14345047531117328,0.178831974840713,0.16854562280237095,0.13721557437075058,0.11646741308448942
营业费用率,0.14345047531117328,0.178831974840713,0.16854562280237095,0.13721557437075058,0.11646741308448942
经营安全边际率,0.04768950480564225,0.0,0.1347625847495306,0.22901831542018086,0.27501810123751763
EPS=基本每股收益,0.00483758650446,0.0,0.0476454899702,0.0620082339226,0.165415389113
营收增长率,-0.0874139172369,0.123803072805,0.0216113334367,-0.0726506087536,0.0743784829953
毛利率,0.150634142998,0.178831974841,0.194796965355,0.177975141453,0.160648718655
营业利润率,0.00718366768638,0.0,0.0262513425526,0.0407595670822,0.0441813055708
净利增长率,0.0,0.0,-0.231626399331,-0.250272489696,-0.369734471564
净资本增长率,0.0698459145668,-0.027954656105,-0.00908120765026,0.0900532939941,0.434367675973
现金流量比率,0.0812001264763,0.0,0.179224436682,0.0290624259318,0.0583445206852
现金再投资比率,0.0646686147728,0.0,0.0591484066691,-0.0165682891499,-0.019673359468
