,2017,2016,2015,2014,2013
负债占资产比率(%),0.429143195787,0.392650226722,0.387265358454,0.344731790293,0.317488906302
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.75528110392,1.93922818991,2.02830424634,2.37074713055,2.73600184082
速动比率(%),1.37975187199,1.50064515608,1.63577162533,1.93904616016,2.34601045107
应收款项周转率,1.17848235052,1.56241823765,1.57976038605,1.49982022173,1.39950831773
应收款项周转天数,305.477633874,230.41205698,227.882660674,240.028767972,257.233197859
存货周转率,2.75066116954,3.71502761635,4.19316194133,4.39926037835,4.35462675915
存货周转天数,130.877624618,96.9037210965,85.8540655087,81.8319374255,82.6706902591
固定资产周转率,3.01845799058,6.62094363971,7.75997244992,9.92075630697,7.37099670255
总资产周转率,0.523292354619,0.704711644753,0.739485564955,0.713298329513,0.647981094253
ROA=资产收益率,0.0339561781148,0.0558849347015,0.0849889153939,0.0850241509916,0.0839861328263
净资产收益率,0.0577419679886,0.0916277967483,0.134397945411,0.127261147347,0.119396176222
ROA=税前纯益占实收资本比率,0.456793709621,0.707297403852,0.958374194101,0.882864424532,0.943948432724
毛利率,0.259217945982,0.250638948771,0.294803549892,0.310997622351,0.314895096634
营业利润率,0.0726559693675,0.0841740883753,0.127766971245,0.137800839256,0.142493962664
净利率,0.18656197661490825,0.16646486039604647,0.16703657864707316,0.17319678309477196,0.17240113397054607
营业费用率,0.18656197661490825,0.16646486039604647,0.16703657864707316,0.17319678309477196,0.17240113397054607
经营安全边际率,0.2802891176850291,0.3358380203394429,0.4333969902729928,0.44309290281537106,0.452512484909018
EPS=基本每股收益,0.410712249668,0.608015929572,0.815813949263,0.74271245752,0.817619740417
营收增长率,-0.174812811905,0.0781412007901,0.187449489228,0.284064516023,0.299524282323
毛利率,0.259217945982,0.250638948771,0.294803549892,0.310997622351,0.314895096634
营业利润率,0.0726559693675,0.0841740883753,0.127766971245,0.137800839256,0.142493962664
净利增长率,-0.324782655117,-0.256079791229,0.144923933826,0.180898829918,0.612174106613
净资本增长率,0.120358545064,0.101260842594,0.166429466516,0.121806064276,0.221032352431
现金流量比率,0.0671006935219,0.124504888635,0.229133133453,0.189064704888,0.136150571995
现金再投资比率,0.0350984624675,0.0592224640178,0.0773754583624,0.0373603172024,0.0422283119667
