,2017,2016,2015,2014,2013
负债占资产比率(%),0.108460589285,0.0787746797704,0.102169836164,0.134677421874,0.681390860052
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),6.49743370764,8.98235496718,6.72844692343,6.70324991013,0.909842136629
速动比率(%),5.13850023088,7.50946715162,5.49512059222,5.01647106791,0.348889758599
应收款项周转率,0.744566233248,1.2507509837,1.13669627303,2.01982940044,1.64184875934
应收款项周转天数,483.502989962,287.827077244,316.707293357,178.23287448,219.265019358
存货周转率,1.05112937087,1.69215631615,1.2458963619,1.26615681133,1.02823420673
存货周转天数,342.48876492,212.746302788,288.948592361,284.324972055,350.114786732
固定资产周转率,0.579443878718,0.936504704621,0.926987746147,1.63519080037,1.47368979584
总资产周转率,0.146957454785,0.239531851623,0.207768802845,0.373760892954,0.334097240667
ROA=资产收益率,0.00390503505491,0.0149258067972,0.0,0.0065494270832,0.0
净资产收益率,0.00430967725458,0.0164113428348,0.0,0.0108754095234,0.0
ROA=税前纯益占实收资本比率,0.0138075790762,0.0517434485104,0.0,0.0311070687656,0.0
毛利率,0.185706541344,0.254444181569,0.108828104504,0.172265091288,0.0863858811561
营业利润率,0.0143782678348,0.0552197359813,0.0,0.0,0.0
净利率,0.1713282735092104,0.19922444558728508,0.1088281045036364,0.17226509128824485,0.08638588115614802
营业费用率,0.1713282735092104,0.19922444558728508,0.1088281045036364,0.17226509128824485,0.08638588115614802
经营安全边际率,0.07742467083138342,0.2170210206453282,0.0,0.0,0.0
EPS=基本每股收益,0.013737185869,0.0517434485104,0.0,0.0284191817234,0.0
营收增长率,-0.377436530385,0.00135879199845,-0.488684458067,-0.0509020903992,0.346377163656
毛利率,0.185706541344,0.254444181569,0.108828104504,0.172265091288,0.0863858811561
营业利润率,0.0143782678348,0.0552197359813,0.0,0.0,0.0
净利增长率,-0.734513522687,0.0,0.0,0.0,0.0
净资本增长率,0.0375998835049,-0.00793612016969,-0.226896601648,0.0779754236194,-0.310034222299
现金流量比率,0.0,0.0,0.0,0.0,0.218636334724
现金再投资比率,0.0,0.0,0.0,0.0,0.270872374613
