,2017,2016,2015,2014,2013
负债占资产比率(%),0.607493006282,0.482801180134,0.417817884551,0.41739258618,0.357277297864
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.45401133956,1.37150956967,1.53612172116,1.55065364713,2.00600076887
速动比率(%),1.14171054034,1.01863026884,1.12453427931,1.1360037997,1.52041249989
应收款项周转率,5.58672895052,0.0,0.0,0.0,0.0
应收款项周转天数,64.4384224094,0.0,0.0,0.0,0.0
存货周转率,2.08492016874,2.89532163261,3.19856005531,3.41665717119,3.43882787639
存货周转天数,172.668481699,124.338517678,112.550645845,105.366146488,104.686833113
固定资产周转率,3.02634359448,3.65911178068,3.37019331313,3.24110837507,3.18616908535
总资产周转率,0.401126303725,0.614738423867,0.618530755804,0.626304761715,0.656797344482
ROA=资产收益率,0.0212972183434,0.00701886508457,0.0875786392897,0.0612354480017,0.0569070808844
净资产收益率,0.0477491797101,0.0128127682912,0.150377590542,0.100294243895,0.0845053760218
ROA=税前纯益占实收资本比率,0.0884109368275,0.0795973624891,0.291536946664,0.956506808855,0.742646839553
毛利率,0.270758672408,0.287925702646,0.228731732034,0.194560313872,0.232526743666
营业利润率,0.0660256750846,0.0442539765456,0.179801702979,0.144918767969,0.110335266123
净利率,0.20473299732295067,0.2436717261006614,0.04893002905491581,0.0496415459028961,0.12219147754287867
营业费用率,0.20473299732295067,0.2436717261006614,0.04893002905491581,0.0496415459028961,0.12219147754287867
经营安全边际率,0.24385433159904624,0.15369929165368615,0.786081150088829,0.7448526633463793,0.4745057036605928
EPS=基本每股收益,0.074437267595,0.0199010998852,0.230414230647,0.674686411187,0.547628515252
营收增长率,-0.195644312641,0.0710953651198,0.0729982741544,0.091776252475,0.0954108746547
毛利率,0.270758672408,0.287925702646,0.228731732034,0.194560313872,0.232526743666
营业利润率,0.0660256750846,0.0442539765456,0.179801702979,0.144918767969,0.110335266123
净利增长率,2.74035947885,-0.913629033115,0.553884488634,0.232014755252,0.36857425401
净资本增长率,0.33000404624,0.123389414954,0.0306177124315,0.150774024508,0.138280023293
现金流量比率,0.113651943465,0.0548813311647,0.0,0.0,0.249333138863
现金再投资比率,0.0429940850453,0.0221728119587,0.0,0.0,0.0839409109423
