,2017,2016,2015,2014,2013
负债占资产比率(%),0.213390446029,0.189379976116,0.171729107487,0.16936567888,0.200230702144
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.57372966815,3.45847477179,3.7176782085,4.7475411883,3.82076060387
速动比率(%),3.04967664459,2.83391568565,2.74569924702,3.66856313046,3.08327405369
应收款项周转率,0.0,0.0,0.0,0.0,164.833949494
应收款项周转天数,0.0,0.0,0.0,0.0,2.1840161029
存货周转率,3.57573436428,3.49727032028,3.28871708448,4.08203498091,4.4863555242
存货周转天数,100.678619641,102.937424629,109.465177683,88.1913069544,80.2433061887
固定资产周转率,1.72787693206,1.51463113195,1.29671469392,1.79552951209,1.87014096563
总资产周转率,0.578290010814,0.623984302063,0.6138921832,0.678829428158,0.698890784898
ROA=资产收益率,0.143228394597,0.14320657068,0.103805974594,0.0988502649032,0.116160552369
净资产收益率,0.17958677757,0.174903138971,0.125166921261,0.121195642378,0.141297771558
ROA=税前纯益占实收资本比率,0.451676182407,0.581091045315,0.56134525739,0.772661922333,1.06221977929
毛利率,0.467551190351,0.457781377952,0.44028328814,0.423871431127,0.396187200809
营业利润率,0.284070189254,0.245935309272,0.188178446498,0.158861791388,0.182038212712
净利率,0.18348100109697124,0.21184606867961833,0.2521048416427789,0.2650096397393119,0.21414898809651467
营业费用率,0.18348100109697124,0.21184606867961833,0.2521048416427789,0.2650096397393119,0.21414898809651467
经营安全边际率,0.6075702406847696,0.5372331010328798,0.4274031096942048,0.37478768258880846,0.45947524892403013
EPS=基本每股收益,0.384956240035,0.488806949179,0.478474084666,0.655052012159,0.907400711226
营收增长率,0.094639456941,0.204314455218,0.0267314626183,0.0711547059314,0.187408046683
毛利率,0.467551190351,0.457781377952,0.44028328814,0.423871431127,0.396187200809
营业利润率,0.284070189254,0.245935309272,0.188178446498,0.158861791388,0.182038212712
净利增长率,0.181313728573,0.634552722621,0.192257165067,-0.0615308041184,0.112243909235
净资本增长率,0.195813970929,0.16404526526,0.20999323509,0.0564684655976,0.156400223214
现金流量比率,1.06098261269,1.4004809677,1.28325835115,0.738627162529,1.08382680443
现金再投资比率,0.18666207124,0.20492681774,0.152105165989,0.0638935066823,0.130549157625
