,2017,2016,2015,2014,2013
负债占资产比率(%),0.174546798756,0.177870787246,0.181649244599,0.122922104394,0.117471295298
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.10513691091,4.58280940182,2.57052780938,4.60391766441,5.22712558525
速动比率(%),2.24491781572,2.74207766473,0.849138726484,1.67003859343,2.53331806083
应收款项周转率,1.05617493672,1.44080483893,1.91150388968,1.70509563018,2.26087581154
应收款项周转天数,340.85262534,249.860349072,188.333386055,211.131853034,159.23032931
存货周转率,0.413155344413,0.410254933381,0.48295649319,0.436974833701,0.6493134925
存货周转天数,871.342958208,877.50315891,745.408758503,823.846071297,554.431725443
固定资产周转率,0.617441346442,0.510338024863,0.56936074186,0.53164789443,0.662965937537
总资产周转率,0.121858797885,0.131603748734,0.195398303544,0.182498053073,0.228138892215
ROA=资产收益率,0.0167445217896,0.0,0.00238250792643,0.00285614330699,0.0079110511308
净资产收益率,0.0203258352469,0.0,0.00281405568659,0.00324636362135,0.00879938129413
ROA=税前纯益占实收资本比率,0.147209715,0.0,0.0018668294,0.0147195866875,0.05570907725
毛利率,0.328081215667,0.281685177441,0.309565579853,0.375758593646,0.310863576992
营业利润率,0.0790567599831,0.0,0.0,0.0,0.0
净利率,0.2490244556840326,0.28168517744138694,0.3095655798533149,0.3757585936458688,0.3108635769917321
营业费用率,0.2490244556840326,0.28168517744138694,0.3095655798533149,0.3757585936458688,0.3108635769917321
经营安全边际率,0.24096704171965394,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.123245147,0.0,0.014030778,0.0202184399375,0.05473392875
营收增长率,0.136376435014,-0.108324337504,0.113402820832,-0.18152743966,0.0097320119475
毛利率,0.328081215667,0.281685177441,0.309565579853,0.375758593646,0.310863576992
营业利润率,0.0790567599831,0.0,0.0,0.0,0.0
净利增长率,0.0,0.0,-0.132550654046,-0.630604994028,0.238559012194
净资本增长率,0.0165615115582,0.554841082327,0.07554046977,0.00410453720195,0.0430436872307
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
