,2017,2016,2015,2014,2013
负债占资产比率(%),0.468961386118,0.4260886146,0.322235457497,0.169113197203,0.18677628743
长期资金占不动产及设备比率(%),2.28097530185,0.0,0.0,0.0,0.0
流动比率(%),0.898283568369,1.04490437138,1.66861848812,3.27835259196,3.45907389932
速动比率(%),0.633566626785,0.635776682609,1.41909361174,2.17772636002,2.44889416375
应收款项周转率,0.0,13.5467080325,15.1227119908,18.9856081629,45.5970847714
应收款项周转天数,0.0,26.5747220016,23.8052539927,18.9617312709,7.89524158847
存货周转率,5.70449136503,8.24440547108,14.428891185,10.6333477651,11.8701009159
存货周转天数,63.1081681018,43.6659746131,24.9499421255,33.8557534233,30.3283015496
固定资产周转率,3.23610493001,3.58333330613,8.38876565117,8.4549920217,11.9095126917
总资产周转率,0.696527278618,0.944342218519,1.45584669956,1.9799529534,2.02063293268
ROA=资产收益率,0.0388392104934,0.0595635306001,0.0624881029456,0.0623467797914,0.0434162467595
净资产收益率,0.0703508365188,0.0964939233486,0.0865293050717,0.075847644605,0.0520581003561
ROA=税前纯益占实收资本比率,0.3891980586,0.500752538347,0.346826468884,0.262075836041,0.355511533972
毛利率,0.184776752942,0.150404144649,0.140313517548,0.14170093285,0.118094779905
营业利润率,0.0608936910035,0.0682663873965,0.0526614006827,0.0402697797042,0.0215077825807
净利率,0.12388306193829558,0.08213775725298712,0.08765211686579938,0.1014311531458206,0.09658699732394335
营业费用率,0.12388306193829558,0.08213775725298712,0.08765211686579938,0.1014311531458206,0.09658699732394335
经营安全边际率,0.32955277129845223,0.45388634439275644,0.3753123833167693,0.2841885292794265,0.1821230591063651
EPS=基本每股收益,0.354384117212,0.45757670848,0.280587457878,0.201788229433,0.303236031631
营收增长率,-0.124650175487,0.103002067673,0.260096506566,-0.00105080833261,0.125041582783
毛利率,0.184776752942,0.150404144649,0.140313517548,0.14170093285,0.118094779905
营业利润率,0.0608936910035,0.0682663873965,0.0526614006827,0.0402697797042,0.0215077825807
净利增长率,-0.226139132096,0.620860575415,0.717617061452,0.463988637378,-0.229577827991
净资本增长率,0.0376542240309,0.394798054167,1.44896264694,-0.0123889346056,0.0530255269948
现金流量比率,0.0765227174838,0.0,0.392620313583,0.0,0.0
现金再投资比率,-0.00148566749348,0.0,0.138035111304,0.0,0.0
