,2017,2016,2015,2014,2013
负债占资产比率(%),0.360855860132,0.389639075189,0.430539691024,0.43979394949,0.335336117342
长期资金占不动产及设备比率(%),4.13827802072,0.0,0.0,0.0,0.0
流动比率(%),1.48787823831,1.2011596172,1.18507627642,1.13643641722,1.80792852848
速动比率(%),0.910292708645,0.807830803087,0.77922466499,0.785200239868,1.24277161923
应收款项周转率,1.86634670513,2.79095569276,3.08990982384,3.30521597929,3.97780238219
应收款项周转天数,192.890205775,128.988074205,116.508254455,108.918752135,90.5022334976
存货周转率,1.67800316221,2.5345874057,2.79813692888,2.99845857245,2.81563977599
存货周转天数,214.540716077,142.034951799,128.657034716,120.061688798,127.857264651
固定资产周转率,2.17276429004,2.86703988137,2.78712747177,3.05106684903,3.54183110741
总资产周转率,0.347686192977,0.523757270542,0.552987494219,0.608927077885,0.664480770526
ROA=资产收益率,0.0116226061047,0.029540155891,0.0434968616686,0.0,0.0902261549446
净资产收益率,0.0185946680866,0.0500048192266,0.0769945859168,0.0,0.134210372168
ROA=税前纯益占实收资本比率,0.0955722972997,0.20406942313,0.266949925834,0.0,0.866406911789
毛利率,0.273086345579,0.281013414773,0.277708499064,0.277721489163,0.266512389296
营业利润率,0.081351510138,0.0762358207708,0.0966119229693,0.059654792292,0.137516200805
净利率,0.19173483544059566,0.2047775940023261,0.18109657609517188,0.21806669687113342,0.12899618849131053
营业费用率,0.19173483544059566,0.2047775940023261,0.18109657609517188,0.21806669687113342,0.12899618849131053
经营安全边际率,0.29789665962830625,0.2712889021058113,0.34788968754927385,0.21480077926916905,0.5159842706305765
EPS=基本每股收益,0.0642416161043,0.153620376367,0.209523160806,0.0,0.725736925252
营收增长率,-0.294439472467,0.00901082952655,-0.0460032901637,0.0447345408208,0.357730612714
毛利率,0.273086345579,0.281013414773,0.277708499064,0.277721489163,0.266512389296
营业利润率,0.081351510138,0.0762358207708,0.0966119229693,0.059654792292,0.137516200805
净利增长率,-0.581815787568,-0.27650433695,0.0,0.0,0.455077677898
净资本增长率,0.0422802475036,0.0851973451107,0.0445618598112,0.0567792688996,0.243600744224
现金流量比率,0.00263782700121,0.0447309734446,0.0842353778781,0.178147854353,0.182569753456
现金再投资比率,-0.0198168527101,0.00180423586786,0.0263000889903,0.0653430828047,0.0492902408559
