,2017,2016,2015,2014,2013
负债占资产比率(%),0.375102053237,0.380996376557,0.393744434176,0.399644918773,0.377617617099
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.46771917814,1.46788145068,1.52143670398,1.80098890836,2.11281954045
速动比率(%),0.961136395057,0.743587514213,0.81774295217,1.04387098933,1.20000220001
应收款项周转率,0.0,0.0,32.3772421304,0.0,0.0
应收款项周转天数,0.0,0.0,11.1090071727,0.0,0.0
存货周转率,3.56990360859,4.67444991594,5.38164748319,5.71410636942,5.11570192477
存货周转天数,100.843058937,77.0144094971,66.8940136128,63.0019773392,70.3715746722
固定资产周转率,1.98572435893,3.39597747755,4.72468650876,4.8186585823,10.2173753633
总资产周转率,0.571868367601,0.945681495754,1.23433719222,1.20475479056,1.2794038003
ROA=资产收益率,0.0349820495069,0.0765448376458,0.109052590298,0.105502445354,0.0950614141061
净资产收益率,0.0562451445735,0.124891199691,0.180663858468,0.172832752301,0.159647594399
ROA=税前纯益占实收资本比率,0.232692802592,0.508005244981,1.2949891471,2.04314707899,2.24129681998
毛利率,0.210714710697,0.229927310698,0.21775836651,0.207300364117,0.194047205287
营业利润率,0.0636113835739,0.0861831306309,0.0990173918257,0.10018046537,0.0908299215696
净利率,0.14710332712322827,0.14374418006701353,0.11874097468450713,0.10711989874666017,0.10321728371747525
营业费用率,0.14710332712322827,0.14374418006701353,0.11874097468450713,0.10711989874666017,0.10321728371747525
经营安全边际率,0.30188392335526304,0.3748277243329226,0.45471222719278886,0.48326237050754073,0.4680815754868642
EPS=基本每股收益,0.207727283162,0.432735568522,1.06593702029,1.73358910238,1.80781883022
营收增长率,-0.369056253123,-0.114918260698,0.246368824933,0.0577118864448,0.057110075437
毛利率,0.210714710697,0.229927310698,0.21775836651,0.207300364117,0.194047205287
营业利润率,0.0636113835739,0.0861831306309,0.0990173918257,0.10018046537,0.0908299215696
净利增长率,-0.523188785668,-0.189479575784,0.256311929648,0.246621506212,0.361507985282
净资本增长率,0.00408256838506,0.0859269013317,0.240072214513,0.186164024453,0.0567643415471
现金流量比率,0.105252479554,0.373937145648,0.0702066233436,0.424042233284,0.32811162259
现金再投资比率,0.0096625315919,0.169546277258,0.000608628629917,0.171303861288,0.130011845544
