,2017,2016,2015,2014,2013
负债占资产比率(%),0.313597440452,0.225774164745,0.360027520084,0.356111089308,0.481168631927
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.26688070595,3.82228884089,1.97002079358,2.408092363,3.00472664025
速动比率(%),1.92944485542,3.30520804232,1.37160820078,1.62719378856,1.88775619585
应收款项周转率,7.61812684057,13.5062389824,14.4780009051,17.9224305744,21.4186001507
应收款项周转天数,47.2557109554,26.6543484437,24.865311334,20.0865612789,16.8078211212
存货周转率,1.32786324201,2.9896999414,2.32065444397,2.07895375033,2.23671726202
存货周转天数,271.112256601,120.413421767,155.128653874,173.164025387,160.950159465
固定资产周转率,22.9684142171,30.4539512512,20.5533432438,10.6345701089,12.5411349245
总资产周转率,0.185500273951,0.442109779419,0.539001566666,0.592850105114,0.85701586147
ROA=资产收益率,0.0290048465751,0.056937909764,0.06553751591,0.0425734549093,0.0470247645712
净资产收益率,0.0399002532526,0.0792395342223,0.102110311097,0.0712280651713,0.0820009594063
ROA=税前纯益占实收资本比率,0.38572991027,0.587213673695,0.561056976904,0.533669773599,0.612173635055
毛利率,0.365365272851,0.275218966913,0.288309965511,0.24320901819,0.261453625227
营业利润率,0.164157641113,0.143735506563,0.117119096389,0.0521692343997,0.0278657215504
净利率,0.20120763173745693,0.13148346034911848,0.17119086912228032,0.19103978379031222,0.23358790367702814
营业费用率,0.20120763173745693,0.13148346034911848,0.17119086912228032,0.19103978379031222,0.23358790367702814
经营安全边际率,0.44929732875964823,0.5222587243018043,0.40622632027767697,0.21450370051231227,0.10657997771574046
EPS=基本每股收益,0.340174564306,0.526522614598,0.509238968978,0.497669384589,0.536051825174
营收增长率,-0.467854751144,0.0395987870474,0.208661661324,0.0738588948682,0.960644894352
毛利率,0.365365272851,0.275218966913,0.288309965511,0.24320901819,0.261453625227
营业利润率,0.164157641113,0.143735506563,0.117119096389,0.0521692343997,0.0278657215504
净利增长率,-0.353922215542,0.101126497763,1.04649506177,0.405411305606,-0.0692813733051
净资本增长率,0.166799369049,0.411526950454,0.107808546746,0.7078855471,0.343414169767
现金流量比率,0.0,0.454787369269,0.554893443471,0.431695667748,0.395145628235
现金再投资比率,0.0,0.0772013227788,0.180225369507,0.121987331788,0.134941529788
