,2017,2016,2015,2014,2013
负债占资产比率(%),0.6755719021,0.769744010327,0.790616660083,0.812813845914,0.582727481413
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.0,0.0,0.0,0.0,0.0
速动比率(%),0.0,0.0,0.0,0.0,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,0.0,0.0,0.0,0.0,0.0
固定资产周转率,7.3185173402,13.2316122881,22.1332827134,9.05403846913,6.13528644896
总资产周转率,0.0,0.0,0.0,0.0,0.0
ROA=资产收益率,0.0130887070369,0.0198038920992,0.0451590811221,0.0329822382461,0.0253141969338
净资产收益率,0.0471856277211,0.0902459919485,0.223539064895,0.131320882845,0.0602239861374
ROA=税前纯益占实收资本比率,0.273499873354,0.525671768693,0.946934365065,0.742089794583,0.31394699695
毛利率,0.0,0.0,0.0,0.0,0.0
营业利润率,0.656260521179,0.602217953284,0.61062573369,0.586110171415,0.387114266679
净利率,-0.6562605211793172,-0.6022179532844095,-0.6106257336904753,-0.5861101714148277,-0.3871142666788898
营业费用率,-0.6562605211793172,-0.6022179532844095,-0.6106257336904753,-0.5861101714148277,-0.3871142666788898
经营安全边际率,0.0,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.202717389822,0.398194538507,0.70391590403,0.550399627667,0.22841341735
营收增长率,-0.393766845555,-0.444199572004,1.86065518169,0.553250430756,0.335692005236
毛利率,0.0,0.0,0.0,0.0,0.0
营业利润率,0.656260521179,0.602217953284,0.61062573369,0.586110171415,0.387114266679
净利增长率,-0.362292294136,-0.434315184204,1.97941988788,1.4096641697,1.30846968386
净资本增长率,0.00193599941853,-0.0695880597311,1.01403987965,1.59670393635,0.0584792728792
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
