,2017,2016,2015,2014,2013
负债占资产比率(%),0.453119989153,0.380419006853,0.3361031361,0.379585452543,0.358963931944
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.45505631818,1.80082103333,1.99416990851,1.86096776588,2.08600585309
速动比率(%),1.01421231073,1.27648299595,1.41194132209,1.26941544831,1.50664379735
应收款项周转率,2.05875537979,2.7750227758,2.60571462283,3.14115617,2.9612491794
应收款项周转天数,174.862931038,129.728664982,138.157876863,114.607482251,121.570316509
存货周转率,2.7405202349,3.53483505358,3.0750548249,3.67996364709,3.99026545044
存货周转天数,131.361920053,101.843507418,117.071083444,97.8270533418,90.2195616986
固定资产周转率,2.24774945342,2.45370679769,2.73887408919,3.48358570934,3.86405234132
总资产周转率,0.623770474201,0.76375569495,0.712593597646,0.876323680285,0.809003162805
ROA=资产收益率,0.00512717980563,0.0174600970697,0.00100976694196,0.0300134181233,0.027381052153
净资产收益率,0.0088261148279,0.0272525255949,0.00157456814131,0.0476127423041,0.0418066020897
ROA=税前纯益占实收资本比率,0.0204761756944,0.0871077079,0.01789901675,0.415388945937,0.336561515063
毛利率,0.210903296252,0.216917956025,0.197430459347,0.185313388577,0.184750353742
营业利润率,0.00827012894893,0.0237771665955,0.0,0.0277882136869,0.0373165319496
净利率,0.20263316730277015,0.1931407894295691,0.1974304593472279,0.15752517488980375,0.14743382179203277
营业费用率,0.20263316730277015,0.1931407894295691,0.1974304593472279,0.15752517488980375,0.14743382179203277
经营安全边际率,0.039212895653673085,0.10961363932789693,0.0,0.14995254201739622,0.201983548035955
EPS=基本每股收益,0.0135583938056,0.07424943915,0.010641143125,0.317676448437,0.271854331125
营收增长率,-0.0858319692499,0.0812644933422,-0.190391713919,0.154776039759,0.173134174671
毛利率,0.210903296252,0.216917956025,0.197430459347,0.185313388577,0.184750353742
营业利润率,0.00827012894893,0.0237771665955,0.0,0.0277882136869,0.0373165319496
净利增长率,-0.671309182542,16.4439527497,-0.966503204196,0.168553935201,-0.369466630828
净资本增长率,0.136369576475,0.100563510771,-0.0759317342519,0.072368669127,0.0593857239456
现金流量比率,0.0,0.133999911327,0.0576243431265,0.0815576813027,0.069660380739
现金再投资比率,0.0,0.0570957801003,0.00065188420026,0.0262443218282,-0.00617163674306
