,2017,2016,2015,2014,2013
负债占资产比率(%),0.508863618612,0.513589632177,0.353931603586,0.291936949907,0.409938599128
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.90088074162,1.92519126361,2.24786588182,2.80326941976,1.36751030523
速动比率(%),1.49305910056,1.55000644267,1.67267615574,1.62717099714,0.992927417706
应收款项周转率,1.27076012844,2.18666774146,18.3026684453,1.96700832456,1.34971567061
应收款项周转天数,283.295007407,164.63406542,19.6692630409,183.019052591,266.722842327
存货周转率,2.45880002143,3.78934799314,3.45146079898,3.10129390483,0.877587684221
存货周转天数,146.412883058,95.0031511099,104.303661831,116.08058154,410.215419465
固定资产周转率,1.41350344012,2.36001166508,1.71823138823,12.649755665,1.54715901786
总资产周转率,0.353061834905,0.613508802547,1.49309271064,0.47507397353,0.367101093163
ROA=资产收益率,0.0331679316917,0.0667389420397,0.0972092098756,0.0213621806033,0.0466388625401
净资产收益率,0.0678500138623,0.120671852838,0.159073575953,0.0328997463475,0.0538115744817
ROA=税前纯益占实收资本比率,0.206747087219,0.685386437216,0.41401385226,1.32671305498,0.182801192496
毛利率,0.253149529354,0.243765428596,0.206864274759,0.404354374766,0.264288122332
营业利润率,0.0930043154038,0.118524881437,0.0817725317244,0.0777766185928,0.0646488994075
净利率,0.16014521394972547,0.12524054715808303,0.12509174303429316,0.32657775617302875,0.1996392229247208
营业费用率,0.16014521394972547,0.12524054715808303,0.12509174303429316,0.32657775617302875,0.1996392229247208
经营安全边际率,0.3673888536996475,0.4862251473489419,0.39529557155190764,0.19234766196819997,0.244615228399328
EPS=基本每股收益,0.175543585648,0.589938384669,0.351491330385,1.13348046685,0.163975541733
营收增长率,-0.309488512315,0.481601622452,0.201594329421,0.202559080877,-0.162595118158
毛利率,0.253149529354,0.243765428596,0.206864274759,0.404354374766,0.264288122332
营业利润率,0.0930043154038,0.118524881437,0.0817725317244,0.0777766185928,0.0646488994075
净利增长率,-0.40367913559,0.726946976952,0.174189307618,-0.198791253036,-0.422502007244
净资本增长率,0.059757081308,0.395432744742,0.423201219138,0.598796842244,0.0394760795911
现金流量比率,0.150364616371,0.0,0.0,0.205926845898,0.116049854588
现金再投资比率,0.0420754729656,0.0,0.0,0.0803749982533,0.0257974203453
