,2017,2016,2015,2014,2013
负债占资产比率(%),0.84106676966,0.825679888878,0.770145053166,0.302283411707,0.161399680607
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.392132382096,0.394625455136,0.503043673303,2.62465728765,4.798673085
速动比率(%),0.363863776783,0.370297980593,0.491352228128,2.24136326499,4.10575885371
应收款项周转率,3.40227925899,3.78592639688,2.20732316161,1.09084889237,0.588487353503
应收款项周转天数,105.811420109,95.0890118457,163.093472791,330.018211063,611.737869739
存货周转率,2.6533483115,6.72369732686,6.54166396395,2.0738499305,1.86845269288
存货周转天数,135.677626055,53.5419699161,55.0318698704,173.590188328,192.672793575
固定资产周转率,3.84047406388,5.18885579015,2.6215890396,0.711385691532,0.378194967398
总资产周转率,0.0696051017403,0.123395250993,0.131595588686,0.204462259545,0.116988744816
ROA=资产收益率,0.0130626250074,0.0141122855793,0.0260325827875,0.0381106386811,0.0
净资产收益率,0.0787052201961,0.0714984065457,0.0942538323503,0.0502052517471,0.0
ROA=税前纯益占实收资本比率,0.335044593366,0.352272759228,0.695249644444,0.195436415889,0.0
毛利率,0.291855545878,0.313788295661,0.40129685019,0.419759328096,0.155368934148
营业利润率,0.2056664291,0.148636755722,0.244968309556,0.159815728057,0.0
净利率,0.0861891167781274,0.16515153993894185,0.15632854063406051,0.25994360003866274,0.15536893414827702
营业费用率,0.0861891167781274,0.16515153993894185,0.15632854063406051,0.25994360003866274,0.15536893414827702
经营安全边际率,0.7046856981288403,0.47368483075211576,0.6104416454796278,0.3807318083491873,0.0
EPS=基本每股收益,0.289979959809,0.244961906622,0.520632144234,0.18794834,0.0
营收增长率,-0.278595320093,1.03462604872,2.66691559911,1.02936791452,-0.297810675546
毛利率,0.291855545878,0.313788295661,0.40129685019,0.419759328096,0.155368934148
营业利润率,0.2056664291,0.148636755722,0.244968309556,0.159815728057,0.0
净利增长率,0.183775729903,0.176271525562,2.89173956761,0.0,0.0
净资本增长率,0.18695726283,0.408389334081,8.09593252001,0.295268446375,0.0238510269406
现金流量比率,0.0383486921191,0.0,0.0,0.00618599144769,0.0
现金再投资比率,0.00826129552056,0.0,0.0,-0.00138616365878,0.0
