,2017,2016,2015,2014,2013
负债占资产比率(%),0.260361168006,0.385291093894,0.319324528131,0.184696993644,0.158163664892
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.6448049733,1.64849089693,2.18787633787,4.91295771962,5.42554664993
速动比率(%),2.22463067041,1.42790765312,2.10180261559,4.6671941906,5.17973123105
应收款项周转率,0.0,0.0,0.0,1.9050325672,2.24878994066
应收款项周转天数,0.0,0.0,0.0,188.973147335,160.086094966
存货周转率,1.51023269979,5.69136155501,8.39739064467,6.92007856533,5.33349476273
存货周转天数,238.373861228,63.2537568594,42.8704600313,52.0225307562,67.4979569711
固定资产周转率,9.35465304359,16.1177604586,22.476913794,6.52360184324,4.80173741858
总资产周转率,0.211206353538,0.459208279427,0.397914968667,0.408836259866,0.34030451813
ROA=资产收益率,0.0326179494984,0.0674489379737,0.0737195583462,0.0950845782169,0.0783154405723
净资产收益率,0.0478131536558,0.104759576714,0.0997888015548,0.114862408561,0.0916631723307
ROA=税前纯益占实收资本比率,0.206943390487,0.392993282257,0.35853939597,0.70302371444,0.747369040952
毛利率,0.399101408239,0.365153750759,0.394387109402,0.443476395123,0.393167845973
营业利润率,0.122451224834,0.122649492203,0.136272108774,0.19556236229,0.154407580262
净利率,0.2766501834043023,0.24250425855586125,0.258115000628406,0.24791403283271649,0.2387602657113983
营业费用率,0.2766501834043023,0.24250425855586125,0.258115000628406,0.24791403283271649,0.2387602657113983
经营安全边际率,0.3068173208778376,0.33588451973457917,0.3455288104634242,0.4409758094019516,0.3927268769391136
EPS=基本每股收益,0.196502909308,0.359261404237,0.315384155346,0.667947664071,0.74219325246
营收增长率,-0.441514965547,0.485614446615,0.192366110016,0.343859222393,0.830626154351
毛利率,0.399101408239,0.365153750759,0.394387109402,0.443476395123,0.393167845973
营业利润率,0.122451224834,0.122649492203,0.136272108774,0.19556236229,0.154407580262
净利增长率,-0.412786797697,0.177820399879,-0.0501798162753,0.358109457416,0.294703447017
净资本增长率,0.174862464692,0.264077900353,0.317953127107,0.120995402064,0.115912061613
现金流量比率,0.0,0.0263138666871,0.219817860769,0.0,0.074143974997
现金再投资比率,0.0,-0.00139300217589,0.0739507444006,0.0,-0.00408594890541
