,2017,2016,2015,2014,2013
负债占资产比率(%),0.0374044329745,0.0945272553425,0.157244805618,0.101729203464,0.161290204755
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),17.6917298607,4.42601581083,3.41706511446,7.44609607958,3.88444758975
速动比率(%),15.3703308948,3.31120728937,2.9756981304,6.67854734655,3.11828052026
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.86545032096,3.78554545514,8.4268070776,7.53431421425,5.07121535264
存货周转天数,192.982893168,95.0985807109,42.7208071438,47.7813892231,70.9889000894
固定资产周转率,7.72107824926,10.2236887651,14.1734191272,18.6684418375,22.4887896666
总资产周转率,0.162803711079,0.361301294348,0.510088665041,0.728529016835,0.870053511245
ROA=资产收益率,0.043206595064,0.00311079769357,0.00126151537926,0.00876845768861,0.0
净资产收益率,0.0458799761203,0.00354171478622,0.00145137195004,0.0101073648713,0.0
ROA=税前纯益占实收资本比率,0.172049242752,0.0270180998878,0.00592761208955,0.0684261002985,0.0
毛利率,0.455975593669,0.504385068296,0.348691004737,0.308239208874,0.233187094406
营业利润率,0.33252644799,0.00761199945213,0.0,0.00694630307742,0.0
净利率,0.12344914567853404,0.496773068843807,0.34869100473708603,0.30129290579652174,0.233187094405526
营业费用率,0.12344914567853404,0.496773068843807,0.34869100473708603,0.30129290579652174,0.233187094405526
经营安全边际率,0.7292636987754499,0.015091643132585713,0.0,0.022535429878620845,0.0
EPS=基本每股收益,0.14694178983,0.00789499326123,0.00876447761194,0.0599418538806,0.0
营收增长率,-0.276957356483,-0.136265943341,-0.288417358258,-0.288424857535,-0.146977905929
毛利率,0.455975593669,0.504385068296,0.348691004737,0.308239208874,0.233187094406
营业利润率,0.33252644799,0.00761199945213,0.0,0.00694630307742,0.0
净利增长率,20.5696553051,1.98502322809,-0.853783674602,0.0,0.0
净资本增长率,0.737788849126,0.310736578603,0.100237618689,-0.0623806714076,-0.218794001865
现金流量比率,0.0,0.0230821242848,0.203103544757,0.529332167311,0.325820688559
现金再投资比率,0.0,-0.0114534935681,0.0330928237157,0.0519809099221,0.0373971425978
