,2017,2016,2015,2014,2013
负债占资产比率(%),0.605146926785,0.646259834554,0.593187713741,0.563828858367,0.497843074296
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.31311456141,1.00152452103,1.0476829676,1.22894228985,1.51120906535
速动比率(%),0.793532981755,0.696692063299,0.839015484759,0.900060247156,0.942769312027
应收款项周转率,1.29573944934,1.18336458302,1.2774242774,1.541769932,1.55272213032
应收款项周转天数,277.833634056,304.217318284,281.817095829,233.497873144,231.850884952
存货周转率,1.12864695774,2.07960606024,2.87638851158,2.70970701599,2.44667301004
存货周转天数,318.965995107,173.109709037,125.156945437,132.855691732,147.138583097
固定资产周转率,1.54184767618,1.31126692339,1.17648453024,1.91168582378,1.6352251307
总资产周转率,0.351186458951,0.404621114153,0.450310219064,0.491918491347,0.476730865368
ROA=资产收益率,0.031036829903,0.0167028083076,0.0151098525634,0.00761604290876,0.00221919229435
净资产收益率,0.0821545355811,0.0441939194983,0.0359286726211,0.0163217248658,0.00406658254176
ROA=税前纯益占实收资本比率,0.202577482551,0.102821235234,0.19151777244,0.0837289991388,0.0147772149282
毛利率,0.253580334849,0.281104672535,0.263553810565,0.223715168885,0.183566019748
营业利润率,0.103308127072,0.0475379043434,0.0384218396452,0.0172846896832,0.0
净利率,0.15027220777690348,0.2335667681920417,0.225131970920073,0.20643047920161392,0.18356601974769535
营业费用率,0.15027220777690348,0.2335667681920417,0.225131970920073,0.20643047920161392,0.18356601974769535
经营安全边际率,0.40739802293264504,0.1691110429243239,0.14578366202626067,0.07726203712242921,0.0
EPS=基本每股收益,0.171146355455,0.0747439401148,0.144897696411,0.0634628565072,0.0156726454545
营收增长率,0.137281857494,0.048243031898,0.0534881990659,0.217482529438,0.161290363528
毛利率,0.253580334849,0.281104672535,0.263553810565,0.223715168885,0.183566019748
营业利润率,0.103308127072,0.0475379043434,0.0384218396452,0.0172846896832,0.0
净利增长率,1.43481938005,0.289598488553,1.28318900828,3.0492753244,0.0
净资本增长率,0.408896084919,0.192753127676,0.136885672033,0.167103590374,0.195180054397
现金流量比率,0.0,0.00976400754907,0.0504547863327,0.0,0.0
现金再投资比率,0.0,-0.0253651779235,0.0110269310501,0.0,0.0
