,2017,2016,2015,2014,2013
负债占资产比率(%),0.295758509564,0.263376864639,0.297333134897,0.312424662065,0.333097422023
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.40288054592,2.57251063881,1.83746572402,1.95146093651,2.03031399181
速动比率(%),1.42089690029,2.07600695169,0.977447612816,1.17770807001,1.11266321241
应收款项周转率,0.770588637314,1.84186539044,1.45268946291,1.82985794068,1.53624595291
应收款项周转天数,467.175328791,195.45402279,247.816212061,196.736583751,234.337476572
存货周转率,1.4254630399,2.967821276,1.56290681727,1.87545910224,1.62395224667
存货周转天数,252.549515436,121.301104925,230.340027968,191.952999439,221.681395336
固定资产周转率,1.01562689694,1.73625149867,0.690413773841,0.844686086284,0.574783951116
总资产周转率,0.283517075494,0.545569984752,0.328061123987,0.404691473664,0.291753536501
ROA=资产收益率,0.00699858314727,0.0457866051084,0.0,0.00903180157903,0.0
净资产收益率,0.00972175782329,0.0635949663287,0.0,0.0133382095523,0.0
ROA=税前纯益占实收资本比率,0.0180572773473,0.125868165519,0.0,0.0922019605495,0.0
毛利率,0.200575248612,0.22099945863,0.145376784019,0.182761810988,0.0795027049941
营业利润率,0.0182925209736,0.0631832505981,0.0,0.0,0.0
净利率,0.18228272763863546,0.15781620803157864,0.14537678401896764,0.1827618109877023,0.07950270499411798
营业费用率,0.18228272763863546,0.15781620803157864,0.14537678401896764,0.1827618109877023,0.07950270499411798
经营安全边际率,0.09120029066473047,0.28589776187629223,0.0,0.0,0.0
EPS=基本每股收益,0.0212999534898,0.132124911994,0.0,0.0763399162637,0.0
营收增长率,-0.451911092871,0.590927085988,-0.24401877978,0.377004223526,0.336672375254
毛利率,0.200575248612,0.22099945863,0.145376784019,0.182761810988,0.0795027049941
营业利润率,0.0182925209736,0.0631832505981,0.0,0.0,0.0
净利增长率,-0.838789270181,0.0,0.0,0.0,0.0
净资本增长率,0.0694898604339,0.039295852017,-0.116371969546,-0.0194445657693,0.00494738549407
现金流量比率,0.0,0.0,0.138467061451,0.0528249990535,0.0
现金再投资比率,0.0,0.0,0.038774324307,0.00937350734584,0.0
