,2017,2016,2015,2014,2013
负债占资产比率(%),0.275725246406,0.217624284349,0.202109268841,0.390727530223,0.248924734336
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.1154343491,2.72284377108,2.70747302563,1.4149345752,2.65225621632
速动比率(%),1.8059661714,2.36193396133,2.41368769797,1.24422973469,2.19817391382
应收款项周转率,1.63043983474,2.11883436299,2.65479595618,2.6606849932,0.0
应收款项周转天数,220.799315823,169.90473927,135.60364184,135.303503015,0.0
存货周转率,2.35171292257,2.55191968823,4.6463825895,4.80190728965,3.54889313328
存货周转天数,153.079908923,141.070270221,77.4796291666,74.9702104362,101.440079056
固定资产周转率,12.0630321234,16.4705712232,16.3619088428,11.3032099276,7.63296154585
总资产周转率,0.258050005548,0.286592264761,0.362354274876,0.510140408932,0.479934057153
ROA=资产收益率,0.0527321049421,0.06920401509,0.0472396941812,0.0925630686776,0.052499253261
净资产收益率,0.0702203251233,0.0876356736525,0.0633993780147,0.138317251712,0.067141495614
ROA=税前纯益占实收资本比率,0.288705436762,0.331026142692,0.151560792411,0.854735300032,0.383928029779
毛利率,0.376862936647,0.44946639213,0.282044064005,0.28085991549,0.343058014561
营业利润率,0.224908774939,0.215865948621,0.125524234093,0.0980047588597,0.0833512812103
净利率,0.15195416170855114,0.2336004435086514,0.15651982991225585,0.18285515663067312,0.25970673335118477
营业费用率,0.15195416170855114,0.2336004435086514,0.15651982991225585,0.18285515663067312,0.25970673335118477
经营安全边际率,0.5967919714780913,0.4802716118510464,0.44505185576451434,0.3489453405573668,0.2429655558895903
EPS=基本每股收益,0.25075499816,0.293799149125,0.13156485081,0.729118686448,0.319112994294
营收增长率,0.0379665567825,0.210137829212,0.465544890253,0.373488811604,0.776429623942
毛利率,0.376862936647,0.44946639213,0.282044064005,0.28085991549,0.343058014561
营业利润率,0.224908774939,0.215865948621,0.125524234093,0.0980047588597,0.0833512812103
净利增长率,-0.121609221092,1.24144443301,0.0529913307847,1.27825109385,0.0
净资本增长率,0.177908812039,0.12450844962,1.57381582953,0.365905754871,0.203417503636
现金流量比率,0.0,0.296459860914,0.0,0.0,0.0
现金再投资比率,0.0,0.0691175453513,0.0,0.0,0.0
