,2017,2016,2015,2014,2013
负债占资产比率(%),0.495773064342,0.537662493332,0.597946521183,0.613475844122,0.576517677249
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.11197717353,1.74934611217,1.15939951287,1.14799200008,0.926362806534
速动比率(%),1.58818873066,1.42541557543,0.891935090811,0.826790896144,0.662268955793
应收款项周转率,2.02493282234,2.78448822445,2.67725498997,3.06374613015,3.78375392739
应收款项周转天数,177.7836756,129.28767191,134.466086103,117.503208395,95.1436078848
存货周转率,6.47147992098,7.04913191117,5.05305229114,5.55666941139,5.65174191422
存货周转天数,55.6286976698,51.0701182127,71.2440677947,64.7870105898,63.6971761032
固定资产周转率,2.72973589849,2.8522662133,1.96864018288,1.74720208356,1.61126117555
总资产周转率,0.774144613961,0.934625832223,0.699396064174,0.651494480436,0.668182193624
ROA=资产收益率,0.0866339803993,0.118179223609,0.0319703100957,0.0235688323521,0.016620086401
净资产收益率,0.178921766121,0.272217723666,0.0810684398712,0.0583664606007,0.0354072168159
ROA=税前纯益占实收资本比率,0.540920283798,0.666153234424,0.176735379701,0.116172151353,0.125956141524
毛利率,0.29005413423,0.282782569703,0.241739452458,0.189150289973,0.174446555517
营业利润率,0.133523761501,0.151393455944,0.0542075637962,0.0235650322187,0.00553505116163
净利率,0.15653037272905104,0.13138911375849133,0.18753188866186943,0.16558525775419455,0.16891150435511088
营业费用率,0.15653037272905104,0.13138911375849133,0.18753188866186943,0.16558525775419455,0.16891150435511088
经营安全边际率,0.4603408320846827,0.5353705361095644,0.22423962346648926,0.12458364310245398,0.031729208669311094
EPS=基本每股收益,0.44233785084,0.542073034576,0.140003359117,0.0960272997507,0.112274829487
营收增长率,-0.0779945676257,0.441686656455,0.153844809846,0.176124673542,0.62868173125
毛利率,0.29005413423,0.282782569703,0.241739452458,0.189150289973,0.174446555517
营业利润率,0.133523761501,0.151393455944,0.0542075637962,0.0235650322187,0.00553505116163
净利增长率,-0.183988461654,2.98795791256,0.45795372233,0.710575739715,0.343584270844
净资本增长率,0.0916901953808,0.137536509166,0.0190231002183,0.138331216771,0.29414819366
现金流量比率,0.0569061955762,0.348217099328,0.133471487219,0.0,0.0592088627943
现金再投资比率,-0.0173336749075,0.14735933407,0.050124060169,0.0,0.0466573438101
