,2017,2016,2015,2014,2013
负债占资产比率(%),0.289773399452,0.458980241447,0.466356745575,0.349037350147,0.316490628079
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.6001987929,1.02117060024,1.22438347805,1.4064676286,1.619721252
速动比率(%),0.983636259053,0.479857915174,0.59021971634,0.711473215992,0.822502084092
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.530485188643,1.12057862805,0.953706504026,0.979415956496,1.67513105244
存货周转天数,678.624036462,321.262596831,377.474619792,367.56599442,214.908558633
固定资产周转率,0.507112499715,0.935608315974,0.981245479651,0.891221602213,1.63385336852
总资产周转率,0.0998198948859,0.294805411589,0.270848939289,0.275124111615,0.496709648845
ROA=资产收益率,0.00453231331807,0.00770197228501,0.00901005201545,0.0150216984148,0.0446194626542
净资产收益率,0.00679142283767,0.0143244366639,0.0153732081437,0.0225344440857,0.0684950288688
ROA=税前纯益占实收资本比率,0.0474862147816,0.0723969807183,0.0681632550307,0.0935850324453,0.50888726443
毛利率,0.274982151164,0.232787855927,0.277096569779,0.238618057459,0.26495859946
营业利润率,0.0426585879245,0.00841190328402,0.0215777776594,0.0,0.0849284671505
净利率,0.2323235632397236,0.22437595264279708,0.25551879211907585,0.2386180574587662,0.18003013230977954
营业费用率,0.2323235632397236,0.22437595264279708,0.25551879211907585,0.2386180574587662,0.18003013230977954
经营安全边际率,0.15513220674093509,0.03613549018923812,0.07787096634463382,0.0,0.32053485836464274
EPS=基本每股收益,0.0348351069121,0.0508374171072,0.0515107726362,0.0732399061255,0.433312291675
营收增长率,-0.268499871332,0.329635892439,0.143445948721,-0.431917285768,0.17217616081
毛利率,0.274982151164,0.232787855927,0.277096569779,0.238618057459,0.26495859946
营业利润率,0.0426585879245,0.00841190328402,0.0215777776594,0.0,0.0849284671505
净利增长率,0.27130783476,0.0442369850341,-0.303332719859,-0.654713005485,0.111063566457
净资本增长率,1.94714447928,0.209117719913,0.237011742868,0.0799403622373,-0.0272259276623
现金流量比率,0.0,0.0,0.163930478096,0.0129216222861,0.0
现金再投资比率,0.0,0.0,0.0975075004735,-0.0173345915407,0.0
