,2017,2016,2015,2014,2013
负债占资产比率(%),0.0725952055208,0.102736556379,0.070324002214,0.125632337254,0.145368169734
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.15317566683,3.65083838157,4.28046920091,3.29019051504,5.38859487668
速动比率(%),3.8215926082,3.57496023281,3.94561428496,3.08090372622,4.58232249024
应收款项周转率,0.0,0.0,0.0,9.6545495048,7.26625525179
应收款项周转天数,0.0,0.0,0.0,37.2881199502,49.5440894278
存货周转率,6.68061141,13.6269900926,7.66166479446,5.61297044874,4.15363152016
存货周转天数,53.8872833497,26.4181596636,46.9871770245,64.1371628958,86.6711450577
固定资产周转率,9.96313073035,13.5002006109,8.95957622776,11.8543016467,8.58168094218
总资产周转率,0.107125299109,0.221868802046,0.264524919048,0.386625346182,0.529211764764
ROA=资产收益率,0.0268834809511,0.0729576959362,0.0860218900833,0.0892349640623,0.0329231533151
净资产收益率,0.029478827826,0.0804491789821,0.0953255847245,0.102610943486,0.0378030087612
ROA=税前纯益占实收资本比率,0.170595499062,0.465868593415,0.52404082006,0.407875146411,0.195374638264
毛利率,0.618371987273,0.614793769563,0.566823012,0.454315734665,0.285875394527
营业利润率,0.274313562627,0.363145397087,0.379826413307,0.263215158275,0.0754662437089
净利率,0.344058424646441,0.2516483724754635,0.18699659869334884,0.19110057638987732,0.21040915081819228
营业费用率,0.344058424646441,0.2516483724754635,0.18699659869334884,0.19110057638987732,0.21040915081819228
经营安全边际率,0.4436060628106908,0.5906783950421198,0.6700970237014431,0.5793661504351363,0.26398299802515474
EPS=基本每股收益,0.153510068389,0.394599201337,0.419075947258,0.338217457754,0.134136879619
营收增长率,-0.33731760527,0.432968351375,0.0553106015677,0.572673666055,0.171630047175
毛利率,0.618371987273,0.614793769563,0.566823012,0.454315734665,0.285875394527
营业利润率,0.274313562627,0.363145397087,0.379826413307,0.263215158275,0.0754662437089
净利增长率,-0.494263829773,0.44900231664,0.486886986295,4.83460435478,0.00665747454168
净资本增长率,-0.0485782974407,1.37073670035,0.0277934066131,2.17784313483,0.0629576716929
现金流量比率,0.111356480551,0.624590596639,1.47076732817,0.691958220234,0.519182096432
现金再投资比率,-4.27797568359e-05,0.0641651692192,0.104318232859,0.0938527807839,0.0664759098885
