,2017,2016,2015,2014,2013
负债占资产比率(%),0.363289008926,0.329898140205,0.230637646355,0.229240867896,0.317568680895
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.31661864794,2.69542403494,2.40827142556,2.22989669692,2.18271588723
速动比率(%),1.92873183608,2.30215441833,1.866095931,1.5095766655,1.26325733215
应收款项周转率,0.436974437167,1.30435627079,1.70231976854,1.21910254373,1.6680097981
应收款项周转天数,823.846818898,275.998213111,211.476131955,295.299195176,215.826070332
存货周转率,0.905999558285,2.38866518772,1.30592543646,0.581096864596,0.801626678775
存货周转天数,397.351187104,150.711787425,275.666580916,619.518056168,449.086849941
固定资产周转率,26.2077481186,5.28202031774,3.47145976918,1.32140227286,1.25602070909
总资产周转率,0.110729130219,0.32397973667,0.25345227941,0.141220218256,0.261733657241
ROA=资产收益率,0.0208902147689,0.0329139891785,0.03644224004,0.00541456350576,0.0
净资产收益率,0.0319994261967,0.0459992869569,0.0473249057394,0.00726297201271,0.0
ROA=税前纯益占实收资本比率,0.114301618865,0.153844222758,0.14318831314,0.0395293103428,0.0
毛利率,0.315469333829,0.292390103215,0.328512227488,0.254033004589,0.265624435037
营业利润率,0.163475605067,0.0706558874983,0.0888332978863,0.0,0.0
净利率,0.15199372876213954,0.22173421571701143,0.23967892960168813,0.25403300458867023,0.2656244350373243
营业费用率,0.15199372876213954,0.22173421571701143,0.23967892960168813,0.25403300458867023,0.2656244350373243
经营安全边际率,0.518198086268823,0.241649381156672,0.2704109328458818,0.0,0.0
EPS=基本每股收益,0.0904927884304,0.126923176051,0.125553162487,0.0382244028168,0.0
营收增长率,-0.616067658842,0.430735864533,1.62764029005,-0.0410165715306,-0.169393014262
毛利率,0.315469333829,0.292390103215,0.328512227488,0.254033004589,0.265624435037
营业利润率,0.163475605067,0.0706558874983,0.0888332978863,0.0,0.0
净利增长率,-0.287027072235,0.0109118204333,8.85390116537,0.0,0.0
净资本增长率,0.0714032733427,0.184875343336,0.0503753712421,1.49720716403,0.0334329044338
现金流量比率,0.0139784173306,0.0,0.0,0.0,0.000150825399383
现金再投资比率,-0.0115107126937,0.0,0.0,0.0,-0.0366543365307
