,2017,2016,2015,2014,2013
负债占资产比率(%),0.426631337621,0.406201692583,0.301666315157,0.177311877308,0.1491083327
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.796232645861,0.796414004336,1.64037595,2.35696650194,2.93794060111
速动比率(%),0.630143636094,0.602464458287,1.20355692435,1.55894692213,1.69294708815
应收款项周转率,3.94376232632,5.07702243025,5.21141961444,4.20016245704,4.91865832594
应收款项周转天数,91.2833913944,70.9077032741,69.079066096,85.7109703927,73.1906906608
存货周转率,5.70867084344,6.25480632402,5.83509887146,3.97537583623,3.73758162433
存货周转天数,63.0619648379,57.5557389551,61.6956126932,90.557475527,96.3189666968
固定资产周转率,1.91060813944,1.97386488009,1.72508198114,1.33069985553,1.26055202028
总资产周转率,0.527345095443,0.655665670914,0.787454163327,0.668831236547,0.639879832684
ROA=资产收益率,0.0406550691673,0.063242006652,0.0596538757872,0.0136156213042,0.00928356693865
净资产收益率,0.0696896933257,0.0987493527384,0.0796663751267,0.0162762369487,0.0107972362627
ROA=税前纯益占实收资本比率,0.203698191789,0.500094054118,0.332094944485,0.0396332269118,0.0213352122794
毛利率,0.303750696429,0.224495616203,0.183756484857,0.199560957613,0.208695725771
营业利润率,0.0844711276999,0.0593803337858,0.0303419677708,0.0,0.0
净利率,0.21927956872884846,0.1651152824172452,0.15341451708600298,0.19956095761279946,0.2086957257708179
营业费用率,0.21927956872884846,0.1651152824172452,0.15341451708600298,0.19956095761279946,0.2086957257708179
经营安全边际率,0.27809360996713395,0.26450553819327915,0.1651205278250578,0.0,0.0
EPS=基本每股收益,0.186952910539,0.462771911544,0.327701246029,0.0596205499265,0.0398236681618
营收增长率,-0.0902100237511,0.109121399217,0.477031131158,0.0669651928711,0.0983850865602
毛利率,0.303750696429,0.224495616203,0.183756484857,0.199560957613,0.208695725771
营业利润率,0.0844711276999,0.0593803337858,0.0303419677708,0.0,0.0
净利增长率,-0.272827000568,0.41217623415,4.49644789311,0.497113467406,-0.766101020607
净资本增长率,0.042126462619,0.241743966515,0.464295243443,0.0370021749665,0.00448494789934
现金流量比率,0.094005162813,0.223377243784,0.226647979902,0.214203631281,0.0
现金再投资比率,-0.0113873432155,0.0572775518919,0.00593950066635,0.0242106493369,0.0
