,2017,2016,2015,2014,2013
负债占资产比率(%),0.153142544312,0.103866016165,0.0814012029827,0.0852507825513,0.0939035643153
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.79202781114,7.75486574203,10.4321217527,10.2364296551,9.80886957006
速动比率(%),2.25387121895,6.40681255922,8.78166250087,8.27718116519,8.3614115877
应收款项周转率,2.31620833046,2.29833933507,2.0949134656,2.16296723308,2.25642116678
应收款项周转天数,155.42643348,156.634833902,171.844806915,166.438027583,159.544683103
存货周转率,5.14146491252,5.11129444545,4.53138857406,4.32494151629,4.52000707543
存货周转天数,70.0189549331,70.4322562204,79.4458462602,83.2381197858,79.6458930246
固定资产周转率,2.07011544696,2.46014700738,2.42647097093,3.23845980471,3.40258444559
总资产周转率,0.451720383002,0.61706299021,0.586624977036,0.624489689907,0.611133244309
ROA=资产收益率,0.0368688470974,0.066479106554,0.0642918206632,0.0589872969688,0.0605995013659
净资产收益率,0.0427004920796,0.0732854929148,0.0701352359475,0.0647913023074,0.0664914519842
ROA=税前纯益占实收资本比率,0.225747552924,0.312661059551,0.302652887266,0.268035838858,0.273471543258
毛利率,0.248361196738,0.326942692243,0.334916954675,0.282985833629,0.270318957323
营业利润率,0.0962519805548,0.121175539362,0.130038206046,0.108579179408,0.113552660231
净利率,0.15210921618340095,0.20576715288064484,0.20487874862851407,0.1744066542208651,0.1567662970922299
营业费用率,0.15210921618340095,0.20576715288064484,0.20487874862851407,0.1744066542208651,0.1567662970922299
经营安全边际率,0.38754838444534107,0.3706323531222557,0.38827000016295826,0.38369121879970947,0.42006917071316224
EPS=基本每股收益,0.183716945051,0.266168195412,0.250630802154,0.228955802154,0.232907019522
营收增长率,0.111775993604,0.0803418890654,-0.0565457641256,0.0319745683495,0.169572426695
毛利率,0.248361196738,0.326942692243,0.334916954675,0.282985833629,0.270318957323
营业利润率,0.0962519805548,0.121175539362,0.130038206046,0.108579179408,0.113552660231
净利增长率,-0.15772969991,0.0619931513801,0.0946689264746,-0.0169647843891,-0.159571572246
净资本增长率,0.973546347283,0.0439154160885,0.0100188425451,-0.00130921465646,0.0213544992365
现金流量比率,0.077683389596,1.32041476348,1.345857783,1.19280866152,0.0
现金再投资比率,-0.0158886240881,0.0821504855013,0.0453203551671,0.036696835527,0.0
