,2017,2016,2015,2014,2013
负债占资产比率(%),0.458821164186,0.471085008613,0.402638241721,0.372010932628,0.342954889357
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.70277239245,1.62879476124,1.64289728801,1.92920026406,1.993220026
速动比率(%),1.23047276431,1.31671006616,1.17131489558,1.11438797163,1.29183052628
应收款项周转率,1.08447560717,2.19736100749,2.66871233915,2.44826518442,2.01544549091
应收款项周转天数,331.957673939,163.832888075,134.896517215,147.042894819,178.620558891
存货周转率,1.96550836115,3.88863347554,2.95045996749,2.07755371461,1.45290907302
存货周转天数,183.15872225,92.577508851,122.014873601,173.280718312,247.778754146
固定资产周转率,4.4507262715,6.07555705703,3.79196093951,2.721830029,1.77688367202
总资产周转率,0.386674830132,0.72746554147,0.685779547061,0.552758028579,0.418450008608
ROA=资产收益率,0.0290521804613,0.0445980667997,0.0207302693607,0.015661119481,0.00575198317859
净资产收益率,0.0542893112004,0.080780204918,0.033921212716,0.0243931238886,0.0083451659143
ROA=税前纯益占实收资本比率,0.0887393582119,0.100180562974,0.0750824668641,0.0464816210795,0.0122476162784
毛利率,0.281659094758,0.300821341811,0.26925939436,0.261800959403,0.298510345551
营业利润率,0.0805718885552,0.0715948882806,0.028514678911,0.00889473954279,0.00434181653927
净利率,0.20108720620318715,0.22922645353039256,0.24074471544857395,0.25290621986058137,0.2941685290113616
营业费用率,0.20108720620318715,0.22922645353039256,0.24074471544857395,0.25290621986058137,0.2941685290113616
经营安全边际率,0.2860617322665446,0.23799803514458298,0.10590040499360351,0.033975198421976105,0.014544944937367408
EPS=基本每股收益,0.0738222126172,0.0844224744525,0.0680367830027,0.0463555482386,0.0155833856534
营收增长率,-0.286490503255,0.724479491192,0.42616775214,0.443198888452,0.303484697455
毛利率,0.281659094758,0.300821341811,0.26925939436,0.261800959403,0.298510345551
营业利润率,0.0805718885552,0.0715948882806,0.028514678911,0.00889473954279,0.00434181653927
净利增长率,-0.125562084078,2.49736713139,0.521609760013,1.97467760021,-0.772037200269
净资本增长率,0.0295816158084,0.953278428828,0.224496004984,0.0693682947083,0.118442149503
现金流量比率,0.0,0.0,0.175745025188,0.0891694191074,0.0
现金再投资比率,0.0,0.0,0.0903045971138,0.0360959385278,0.0
