,2017,2016,2015,2014,2013
负债占资产比率(%),0.735409723387,0.707056098536,0.661133987688,0.674401311502,0.540005485235
长期资金占不动产及设备比率(%),0.0,1.78060570678,2.10965396016,2.5031255975,0.0
流动比率(%),1.11549423978,1.08024819976,1.20365795162,1.28455523679,1.48433610268
速动比率(%),0.773481994309,0.770583422276,0.994269431704,0.976066015139,1.1175990216
应收款项周转率,3.65489751607,3.89050685412,4.12585495997,3.39534130408,2.31397645402
应收款项周转天数,98.4979738604,92.532930412,87.2546426116,106.0276325,155.576345375
存货周转率,4.29342557802,5.9566948969,7.04918607185,5.44413936379,4.20389607239
存货周转天数,83.8491301313,60.436199307,51.069725828,66.1261543733,85.6348477225
固定资产周转率,5.69204376624,5.40598826811,7.27429210107,10.3065073605,9.02813919405
总资产周转率,0.952532874723,1.14697418489,1.22987364131,1.12337259853,0.893978950946
ROA=资产收益率,0.0329817658352,0.0659049477131,0.0630781727149,0.0450056952437,0.0337330075414
净资产收益率,0.119051918139,0.211488255049,0.189538312647,0.119983446608,0.0659115763853
ROA=税前纯益占实收资本比率,0.278457497756,0.401239594951,0.552513284074,0.79414311449,0.383727968003
毛利率,0.124538663654,0.15191469131,0.153352580423,0.138635281647,0.146973118339
营业利润率,0.0362971965063,0.0583808668375,0.0574568392249,0.0478064114491,0.0398428354283
净利率,0.08824146714729961,0.09353382447232322,0.09589574119845788,0.09082887019800415,0.1071302829110272
营业费用率,0.08824146714729961,0.09353382447232322,0.09589574119845788,0.09082887019800415,0.1071302829110272
经营安全边际率,0.29145323581831756,0.38430033549845816,0.37467148623316,0.34483582303957017,0.27108927046310727
EPS=基本每股收益,0.242189894045,0.357849165274,0.514257139708,0.681358019125,0.340187299386
营收增长率,0.122259462461,0.244208208079,0.512333255832,0.942092091256,0.560699787908
毛利率,0.124538663654,0.15191469131,0.153352580423,0.138635281647,0.146973118339
营业利润率,0.0362971965063,0.0583808668375,0.0574568392249,0.0478064114491,0.0398428354283
净利增长率,-0.323725783491,0.393923142363,0.936076277817,1.06198593366,0.153358479699
净资本增长率,0.278030491576,0.458262180587,0.186819364535,0.715038955405,0.321491113482
现金流量比率,0.0,0.199476425449,0.188546483476,0.255874704833,0.0
现金再投资比率,0.0,0.311923834557,0.237783489116,0.346664033819,0.0
