,2017,2016,2015,2014,2013
负债占资产比率(%),0.467943846124,0.446166485421,0.43488699057,0.440826901328,0.422468108714
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.00235922969,0.992245424544,1.03042249968,1.00380621957,1.249753701
速动比率(%),0.644012693044,0.638567530608,0.7158520802,0.727693813407,0.897070024051
应收款项周转率,6.49784814485,9.2613456254,10.3804504761,11.6165151755,11.6785148306
应收款项周转天数,55.4029567905,38.8712412387,34.6805758409,30.9903610991,30.8258374649
存货周转率,3.24598152564,4.82107598702,5.67333375016,5.39531137399,4.92070598949
存货周转天数,110.906361345,74.6721273362,63.4547544448,66.7246012409,73.1602336674
固定资产周转率,1.03391376378,1.36051578223,1.36801108677,1.64271843724,2.08872733618
总资产周转率,0.565574712478,0.753339693463,0.771893882654,0.803151813924,0.792592196223
ROA=资产收益率,0.0,0.0347685295985,0.0346115448524,0.03553204335,0.0529380988831
净资产收益率,0.0,0.062164011073,0.0615659830103,0.0625774208692,0.091021577548
ROA=税前纯益占实收资本比率,0.00857848221322,0.319217411734,0.297856027089,0.283778654494,0.412075216383
毛利率,0.188034091667,0.219675798351,0.210365568572,0.211238478881,0.215986128694
营业利润率,0.0,0.0352113311918,0.0346199863228,0.0355226636558,0.0545494754004
净利率,0.18803409166693166,0.1844644671592296,0.17574558224938036,0.17571581522555363,0.16143665329392254
营业费用率,0.18803409166693166,0.1844644671592296,0.17574558224938036,0.17571581522555363,0.16143665329392254
经营安全边际率,0.0,0.16028771242024079,0.16457059279133426,0.1681637921458959,0.2525600867526996
EPS=基本每股收益,0.0,0.298814103656,0.284365228055,0.273095900176,0.37412534839
营收增长率,-0.219572357876,0.0209218842067,0.032949746,0.126095254078,0.064860671984
毛利率,0.188034091667,0.219675798351,0.210365568572,0.211238478881,0.215986128694
营业利润率,0.0,0.0352113311918,0.0346199863228,0.0355226636558,0.0545494754004
净利增长率,0.0,0.0508109788938,0.0469357725384,-0.254102557522,0.47752953681
净资本增长率,0.018182374316,0.0621878317799,0.0294699140323,0.125787764029,0.0954083274942
现金流量比率,0.0266921086825,0.226756211568,0.191321517004,0.259642978186,0.229047426636
现金再投资比率,-0.017172233973,0.106808225263,0.0582721202227,0.128178301464,0.0949910003543
