,2017,2016,2015,2014,2013
负债占资产比率(%),0.281669214806,0.247427303611,0.324466369849,0.244160339932,0.194030855503
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.17823086865,2.35477613624,2.08394643412,2.53626640402,4.41269548598
速动比率(%),1.50981595655,1.89522409968,1.57348563114,1.80947297446,3.85714741897
应收款项周转率,1.73633187128,3.02824479352,2.50397027771,2.66939981308,2.04350881566
应收款项周转天数,207.333635899,118.880745959,143.77167461,134.861776133,176.167578648
存货周转率,1.65700547371,2.64944602076,1.59553322971,2.10280595535,4.34883426111
存货周转天数,217.259390938,135.87746162,225.629898078,171.1998195,82.7808047823
固定资产周转率,8.63938864575,9.15635194273,4.77083688067,3.39973759045,4.71557422606
总资产周转率,0.315269521547,0.490844421483,0.435289650144,0.483284301677,0.431588857428
ROA=资产收益率,0.0392776204496,0.0800599380799,0.0768631237536,0.0643160306083,0.0168971461101
净资产收益率,0.0534887383538,0.109865199588,0.1080670563,0.0833735370527,0.0206359228393
ROA=税前纯益占实收资本比率,0.318773184716,0.445915324967,0.290598197141,0.578827938311,0.139595071204
毛利率,0.348492139365,0.379774682462,0.438073937464,0.415874948101,0.275194125584
营业利润率,0.138631432034,0.173671941439,0.184934601505,0.130364046327,0.0194421499619
净利率,0.20986070733082646,0.20610274102243945,0.2531393359593548,0.28551090177376415,0.2557519756219201
营业费用率,0.20986070733082646,0.20610274102243945,0.2531393359593548,0.28551090177376415,0.2557519756219201
经营安全边际率,0.39780361269162284,0.4573025782377997,0.4221538550669255,0.31346934198015225,0.07064885531505095
EPS=基本每股收益,0.281119522443,0.38842900483,0.25134679853,0.499147437454,0.120774887593
营收增长率,-0.0502735929941,1.02122941967,0.395563719169,0.845112283687,0.263227308369
毛利率,0.348492139365,0.379774682462,0.438073937464,0.415874948101,0.275194125584
营业利润率,0.138631432034,0.173671941439,0.184934601505,0.130364046327,0.0194421499619
净利增长率,-0.274578697533,0.867012870894,0.851709330534,5.27185788851,-0.538683792409
净资本增长率,0.142138852652,1.22851523522,0.248187190332,1.21744210449,0.049723278021
现金流量比率,0.0,0.049326146836,0.232329044851,0.113498648446,0.0
现金再投资比率,0.0,0.00384898033617,0.0981293884042,0.0190236866794,0.0
