,2017,2016,2015,2014,2013
负债占资产比率(%),0.181017487212,0.333504048476,0.343609848123,0.3745106031,0.351635744333
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.11959372178,1.64978926394,1.56192881675,1.54087731078,1.57033208825
速动比率(%),1.68457764032,1.36404749058,1.29484125783,1.25950773505,1.34583691158
应收款项周转率,3.60246900284,3.27431325914,3.36740365766,3.30339753858,2.88785041451
应收款项周转天数,99.9314635924,109.946719055,106.907290185,108.978709282,124.660196453
存货周转率,6.71696540498,7.11956169956,5.3219484706,5.51504478383,6.20254878649
存货周转天数,53.5956311064,50.5649104807,67.6443979097,65.2759885207,58.0406559291
固定资产周转率,1.60742948363,1.82281108036,1.6612210596,1.47320030897,1.44086820114
总资产周转率,0.539636444161,0.667917510642,0.623317810643,0.62529273278,0.596733055878
ROA=资产收益率,0.0528268489912,0.073473547585,0.0894892314018,0.0646819846671,0.0424193278329
净资产收益率,0.0686678469824,0.111028718315,0.139434348334,0.101667025046,0.0646853750515
ROA=税前纯益占实收资本比率,0.543329373773,0.670536972472,0.683689154818,0.976375122716,0.665390192397
毛利率,0.322565375005,0.278562721705,0.352656072951,0.351672818294,0.310404332687
营业利润率,0.111196030456,0.105420681812,0.140056499539,0.121684528709,0.0919757249714
净利率,0.21136934454835554,0.17314203989254742,0.21259957341179592,0.22998828958527318,0.21842860771579148
营业费用率,0.21136934454835554,0.17314203989254742,0.21259957341179592,0.22998828958527318,0.21842860771579148
经营安全边际率,0.34472401278274833,0.37844504522025774,0.3971475618365925,0.346016303730943,0.2963094109388447
EPS=基本每股收益,0.465464778786,0.617092917852,0.668265972867,0.860600411534,0.533857211322
营收增长率,0.316097481845,0.205186547369,0.121551849395,0.156393533815,0.136840906179
毛利率,0.322565375005,0.278562721705,0.352656072951,0.351672818294,0.310404332687
营业利润率,0.111196030456,0.105420681812,0.140056499539,0.121684528709,0.0919757249714
净利增长率,0.17120606486,-0.0765758801039,0.556612958427,0.682759007815,0.552408660315
净资本增长率,1.06982674443,0.130537281,0.118196292411,0.132932908103,0.0721030144051
现金流量比率,0.12415217687,0.354143288772,0.327916860388,0.401549118012,0.182458340901
现金再投资比率,0.00523360712203,0.121113330941,0.113222294253,0.143038594415,0.0539106793368
