,2017,2016,2015,2014,2013
负债占资产比率(%),0.0398297361704,0.0535247149688,0.0681644744846,0.052171589217,0.0467319454864
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),17.0120357638,13.549867318,13.0358873473,19.3184649907,21.2606335056
速动比率(%),16.3025714465,12.96132613,12.5226377598,18.6593411671,20.5507928751
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,2.74129331716,3.3730658624,5.1022009969,3.56283827864,3.01413487713
存货周转天数,131.324874192,106.727830017,70.5577848106,101.043036996,119.437256352
固定资产周转率,0.804239294598,5.09673776094,4.86464687335,4.39426295022,3.87475981271
总资产周转率,0.162220453845,0.261967871728,0.275291472428,0.240293003831,0.233866289328
ROA=资产收益率,0.0233350245461,0.0494292338406,0.0615354601543,0.0653444384137,0.0726056332592
净资产收益率,0.0244344761528,0.0526290623333,0.0654849422766,0.0687496874748,0.0758498347609
ROA=税前纯益占实收资本比率,0.0721727614353,0.131760407323,0.159462932576,0.163568995076,0.307870401477
毛利率,0.691730778302,0.700091057447,0.649404225808,0.739620553025,0.719698902536
营业利润率,0.139127250003,0.145727678859,0.217278428007,0.223722298384,0.233340366417
净利率,0.5526035282984574,0.5543633785879876,0.43212579780111604,0.5158982546406319,0.48635853611872093
营业费用率,0.5526035282984574,0.5543633785879876,0.43212579780111604,0.5158982546406319,0.48635853611872093
经营安全边际率,0.20112918835991345,0.20815532109511783,0.3345811735928925,0.30248253306279466,0.3242194278679127
EPS=基本每股收益,0.0685993271568,0.115449543182,0.140328741035,0.142196372159,0.264908980909
营收增长率,-0.174193927245,-0.0253640272346,0.200585025062,0.103060997465,-0.0272650391173
毛利率,0.691730778302,0.700091057447,0.649404225808,0.739620553025,0.719698902536
营业利润率,0.139127250003,0.145727678859,0.217278428007,0.223722298384,0.233340366417
净利增长率,-0.370428767658,-0.177292247262,-0.0131341685824,-0.0338059925035,0.106422129537
净资本增长率,0.650891466157,0.0123564536305,0.0364871720121,0.0601054242971,0.0881997467153
现金流量比率,0.0,0.59826991605,0.973061969232,1.59909765696,1.61533152758
现金再投资比率,0.0,0.000367270728417,0.0102939323778,0.0449298110244,0.0
