,2017,2016,2015,2014,2013
负债占资产比率(%),0.526946374116,0.458569310392,0.44436531474,0.485485413856,0.337546284353
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.29155721072,1.25594712087,1.20447961757,1.12870122445,1.84494778036
速动比率(%),1.0128290821,0.958435427846,0.987810160838,0.980276613574,1.5260781523
应收款项周转率,1.90890826802,2.739161905,2.73983560146,2.98480255212,2.9674048208
应收款项周转天数,188.589470762,131.427061446,131.394744929,120.610993094,121.318128715
存货周转率,3.98666186193,5.69550955348,8.30259236927,9.17177352237,7.67166658974
存货周转天数,90.3011121755,63.2076896052,43.3599512042,39.2508601659,46.9259183502
固定资产周转率,2.64814311142,2.63774733145,2.26590892282,2.62766730279,3.86978406189
总资产周转率,0.569155674413,0.766069494389,0.758400088214,0.840872574024,0.840226120698
ROA=资产收益率,0.0400419150575,0.0325518451301,0.0274038263129,0.0220129606287,0.0697377216191
净资产收益率,0.079534073969,0.059521209036,0.0512633694447,0.0381427907372,0.0995032233951
ROA=税前纯益占实收资本比率,0.387169293896,0.207821494202,0.163785995721,0.120678531317,0.303063495974
毛利率,0.17256318225,0.190602754089,0.1553663454,0.167436763751,0.206820615773
营业利润率,0.0466491071703,0.0386382520893,0.0266689138346,0.0194554613425,0.0806361239021
净利率,0.1259140750797218,0.15196450200007566,0.12869743156493407,0.14798130240853544,0.1261844918705797
营业费用率,0.1259140750797218,0.15196450200007566,0.12869743156493407,0.14798130240853544,0.1261844918705797
经营安全边际率,0.2703305917405255,0.2027161269200632,0.17165180635486268,0.11619587542589813,0.3898843623535285
EPS=基本每股收益,0.308591042052,0.181241522714,0.15244818492,0.108333385378,0.261202170362
营收增长率,0.0281465752989,0.280610684398,0.0155295302813,0.32972179453,0.363742798834
毛利率,0.17256318225,0.190602754089,0.1553663454,0.167436763751,0.206820615773
营业利润率,0.0466491071703,0.0386382520893,0.0266689138346,0.0194554613425,0.0806361239021
净利增长率,0.702281428888,0.505954087011,0.401706602333,-0.580591256354,0.2078124856
净资本增长率,0.249062141563,0.599464137103,-0.0479727776111,0.36304720774,0.284577260137
现金流量比率,0.127548885483,0.0023770212669,0.0402559400105,0.263722824396,0.461142733614
现金再投资比率,0.0903841270367,-0.00469063149823,-0.0108573611258,0.220355621924,0.196953679206
