,2017,2016,2015,2014,2013
负债占资产比率(%),0.212631845276,0.236825468595,0.239161316132,0.183754317768,0.192793815793
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.07353141371,1.76141568602,1.68782083642,3.60399977175,3.83508586699
速动比率(%),0.0,0.0,1.52741716648,2.77812435511,2.82470586483
应收款项周转率,0.0,0.0,4.31232817465,4.17804687665,3.78428809913
应收款项周转天数,0.0,0.0,83.4815870731,86.1646627307,95.1301778748
存货周转率,0.0,0.0,18.0309829541,2.69322777926,2.34330722283
存货周转天数,0.0,0.0,19.9656336494,133.668604925,153.629023328
固定资产周转率,282.660699906,279.555424343,16.0202011258,2.54483799819,1.97405984205
总资产周转率,0.72300276921,1.05255720061,0.624435341211,0.538034106977,0.445122213075
ROA=资产收益率,0.0541740091909,0.0679104608402,0.0383589788937,0.0130485647606,0.0
净资产收益率,0.0698605958735,0.0891148401441,0.0500191747558,0.0160748661477,0.0
ROA=税前纯益占实收资本比率,0.255740091512,0.299446721602,0.191725956762,0.0549414185333,0.0
毛利率,0.118332970154,0.124632355508,0.132013716168,0.190656692402,0.117820008952
营业利润率,0.0788661518681,0.0638314234239,0.0632858338622,0.0163849313429,0.0
净利率,0.03946681828620707,0.060800932083673334,0.06872788230590987,0.17427176105906275,0.11782000895206401
营业费用率,0.03946681828620707,0.060800932083673334,0.06872788230590987,0.17427176105906275,0.11782000895206401
经营安全边际率,0.6664765683245472,0.5121577231203498,0.47938832190464,0.08593945030998858,0.0
EPS=基本每股收益,0.241724975237,0.28580283789,0.174413742373,0.0546482766667,0.0
营收增长率,-0.273037320416,2.13474531129,4.33035052922,0.175351274702,-0.0359166071143
毛利率,0.118332970154,0.124632355508,0.132013716168,0.190656692402,0.117820008952
营业利润率,0.0788661518681,0.0638314234239,0.0632858338622,0.0163849313429,0.0
净利增长率,-0.155747877277,2.29240816066,12.5015116195,0.0,0.0
净资本增长率,0.0314692602256,0.0875252231139,7.16303239805,0.00494059078796,-0.0582781282726
现金流量比率,0.013163544436,0.0,0.0,0.447782596997,0.0
现金再投资比率,-0.00758360336032,0.0,0.0,0.0937857726906,0.0
