,2017,2016,2015,2014,2013
负债占资产比率(%),0.190753234237,0.222101271449,0.148764295027,0.348514808463,0.143309486662
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),5.08068074384,3.84336865282,3.76555769721,1.45801084636,3.61813690179
速动比率(%),3.31681334455,3.14830598929,3.22797540737,0.987747606581,2.55805667663
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.44017639555,2.04782379176,2.39383348099,2.30053594647,3.05388826521
存货周转天数,249.969379523,175.796375376,150.386400248,156.4852749,117.882505428
固定资产周转率,95.2828819361,70.5165584574,54.3789269589,53.4421461692,35.8550430553
总资产周转率,0.16912115371,0.199704614651,0.231275518063,0.321627735248,0.380905964697
ROA=资产收益率,0.0698440794778,0.0853528627333,0.0632522710689,0.0929099118777,0.138154812832
净资产收益率,0.0880100791122,0.105044978745,0.0815460197311,0.128742820251,0.155858367615
ROA=税前纯益占实收资本比率,0.220813329303,0.278044845686,0.309557450693,0.420739320176,0.802103981776
毛利率,0.361121303278,0.494486365446,0.336848066345,0.39323930768,0.462871232402
营业利润率,0.404077166252,0.459073535439,0.284454367266,0.338165494692,0.4258234427
净利率,-0.04295586297407017,0.03541283000645201,0.0523936990789447,0.055073812988294835,0.03704778970191175
营业费用率,-0.04295586297407017,0.03541283000645201,0.0523936990789447,0.055073812988294835,0.03704778970191175
经营安全边际率,1.118951340129067,0.9283846178962959,0.844458958463104,0.8599483522814668,0.9199609154587317
EPS=基本每股收益,0.218099364356,0.252233689932,0.284026093593,0.347455237917,0.647659396586
营收增长率,-0.105151255899,0.136557251912,0.250578899202,0.34716837067,-0.12543681703
毛利率,0.361121303278,0.494486365446,0.336848066345,0.39323930768,0.462871232402
营业利润率,0.404077166252,0.459073535439,0.284454367266,0.338165494692,0.4258234427
净利增长率,-0.135328177552,0.776130401047,0.183992638335,0.072956679851,0.0571326797984
净资本增长率,0.00243755035275,0.11726415171,0.643174342875,0.923759309267,0.201131337207
现金流量比率,0.033303684577,0.877077490564,0.406351871083,0.0,2.03156657639
现金再投资比率,-0.0154106417763,0.0720742561148,0.031651587,0.0,0.296388724499
