,2017,2016,2015,2014,2013
负债占资产比率(%),0.302082124972,0.288953599524,0.284346760854,0.257724201846,0.194827568965
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,1.49994314557
流动比率(%),1.21252373866,1.26443438798,1.43891714234,1.27852003475,1.91639627041
速动比率(%),0.858240610181,0.889828979719,1.01964388036,0.786053390134,1.32154475256
应收款项周转率,2.49559648466,3.11524951266,3.01991867805,3.27273203529,3.14768758191
应收款项周转天数,144.254090039,115.560566991,119.208508036,109.999839925,114.369673175
存货周转率,2.52763270115,3.29886128426,2.86940372768,3.0444570965,3.09951074004
存货周转天数,142.425756652,109.128565581,125.461606022,118.24768377,116.147363308
固定资产周转率,0.708449295661,0.800247881145,0.763438385926,0.829193735822,0.918568474306
总资产周转率,0.369192738167,0.466788840148,0.411777997172,0.428680453005,0.420632773778
ROA=资产收益率,0.0841669749078,0.0990535359955,0.0824938042166,0.0857792470551,0.0965165224334
净资产收益率,0.119536465909,0.138884986225,0.113297823233,0.111248319854,0.11843455281
ROA=税前纯益占实收资本比率,0.560690048444,0.577290536938,0.639920054519,0.832417095056,0.796399693111
毛利率,0.417337008001,0.406087628843,0.390818762561,0.383538822275,0.404142398331
营业利润率,0.283421437069,0.242333315723,0.230138481144,0.222924755003,0.251305220578
净利率,0.13391557093168605,0.16375431312035002,0.16068028141714474,0.16061406727230976,0.1528371777527308
营业费用率,0.13391557093168605,0.16375431312035002,0.16068028141714474,0.16061406727230976,0.1528371777527308
经营安全边际率,0.6791188694884052,0.5967512884183942,0.588862417033531,0.5812312654047648,0.6218234503881098
EPS=基本每股收益,0.450591574074,0.47082898484,0.518234749926,0.6976282685,0.677839162722
营收增长率,-0.109198732267,0.286579403103,0.112971578068,0.180177748746,0.211650319192
毛利率,0.417337008001,0.406087628843,0.390818762561,0.383538822275,0.404142398331
营业利润率,0.283421437069,0.242333315723,0.230138481144,0.222924755003,0.251305220578
净利增长率,-0.0429825083354,0.362786801464,0.114278420168,0.0291943972347,0.0917861178779
净资本增长率,0.119756373852,0.133685527406,0.136401116418,0.185029289432,0.127569621518
现金流量比率,0.40093491697,0.612454802031,0.494883817732,0.374807015755,0.464495661425
现金再投资比率,0.122560608193,0.174579175753,0.1129853919,0.0723964356164,0.061617556181
